TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20260204,-41232.65,-19824.605,-21408.043,128,60,68,0.01295998736770776
20260205,-47387.992,-20978.0,-26409.99,193,127,66,0.014124070258387689
20260206,-71805.805,-46498.824,-25306.98,243,174,69,0.01568196351665785
20260209,-110842.97,-75908.04,-34934.934,255,173,82,0.017889027476731045
20260210,-15962.743,-10648.169,-5314.574,37,21,16,0.007796017323718929
20260211,-11054.311,-11851.05,796.7395,22,15,7,0.008523127251475637
20260212,-19766.465,-14276.919,-5489.5464,44,29,15,0.007591756142953376
20260213,3717.4678,3730.7031,-13.235352,8,2,6,0.009021161866548555
20260224,-41472.766,-32447.729,-9025.038,98,75,23,0.014429029150858419
20260225,-32423.338,-24202.662,-8220.676,81,51,30,0.0095883579077356
20260226,-11438.546,-14272.948,2834.402,38,31,7,0.008008969347862105
20260227,-3506.8828,7539.323,-11046.206,32,11,21,0.008281417091459464
20260302,-19987.55,-12950.19,-7037.3594,57,38,19,0.008460107184267374
20260303,-57459.47,-57806.457,346.98804,329,217,112,0.01949449845252116
20260304,-188081.61,-108078.71,-80002.9,547,314,233,0.03403260282759457
20260305,-168285.77,-86660.49,-81625.27,426,233,193,0.014626369437430231
20260306,-29444.344,-22785.137,-6659.206,81,54,27,0.006840852320330937
20260309,-108112.93,-78136.914,-29976.016,219,158,61,0.010999562506433525
20260310,-210324.31,-118007.87,-92316.445,463,235,228,0.019417564212384053
20260311,-4024.2573,-326.1714,-3698.086,12,7,5,0.005193369766798073
20260312,-12816.135,-7021.447,-5794.688,43,30,13,0.007695168552101617
20260313,-15153.809,-6109.5474,-9044.261,73,38,35,0.010574982057599991
20260316,-27196.574,-16841.742,-10354.833,132,83,49,0.011214265377560761
20260317,-49716.734,-25267.973,-24448.76,161,91,70,0.010805364459035682
20260318,-29478.395,-17588.562,-11889.831,106,54,52,0.009169501434839966
20260319,-40658.656,-32638.451,-8020.206,136,83,53,0.013088735519549255
20260320,-168394.81,-108384.66,-60010.164,517,313,204,0.016508831081312403
20260323,-53414.61,-33372.008,-20042.602,269,148,121,0.01576703607261365
20260324,-366320.7,-191186.8,-175133.89,937,475,462,0.03093642188886414
20260325,-196723.75,-112693.81,-84029.94,541,301,240,0.013981531659838065
20260326,-70711.01,-41583.586,-29127.422,140,75,65,0.00921235092395567
20260327,-10774.529,1012.631,-11787.16,91,43,48,0.007003661909411152
20260330,-92490.375,-55388.02,-37102.355,256,156,100,0.010271871673742106
20260331,-62557.305,-31543.71,-31013.596,204,120,84,0.008159967565769088
20260401,-34419.875,-14985.432,-19434.443,168,104,64,0.009484560451374136
20260402,-45623.523,-17016.238,-28607.287,125,52,73,0.012462020272712926
20260403,-26252.36,-4850.7676,-21401.592,79,33,46,0.008771387454109214
20260407,-16385.344,-12344.134,-4041.2097,53,37,16,0.0070499339084615364
20260408,-57457.41,-34583.863,-22873.547,233,149,84,0.01318729491234083
20260409,-20306.496,-20094.531,-211.96542,57,46,11,0.010053194292321543
20260410,-19684.25,-10042.625,-9641.624,79,41,38,0.008368300364959391
20260413,-24323.736,-19756.174,-4567.563,61,34,27,0.008952720188699415
20260414,-18563.066,-12476.429,-6086.6367,50,24,26,0.00730825234449517
20260415,-44923.39,-33216.445,-11706.946,95,60,35,0.01070075193148079
20260416,-31279.053,-15819.407,-15459.6455,63,23,40,0.007526210216805218
20260417,-7072.1147,-7427.2686,355.154,52,33,19,0.006656497661615357
20260420,-5074.548,381.54053,-5456.0884,7,6,1,0.004500266350597193
20260421,-23800.562,-11932.049,-11868.513,68,26,42,0.012993188471628114
20260422,-27019.46,-11913.024,-15106.4375,57,38,19,0.009583852278101546
20260423,-16511.674,-21068.268,4556.5938,78,46,32,0.008187300183325252
20260424,-26190.992,-21773.924,-4417.0684,85,50,35,0.011429437817182309
20260427,-83937.33,-57052.777,-26884.553,177,108,69,0.015884960840260587
20260428,-23975.414,-16702.695,-7272.7183,72,39,33,0.008421300108321206
20260429,-45588.395,-32330.799,-13257.596,122,82,40,0.010519135482614073
20260430,-49943.965,-34973.246,-14970.719,78,48,30,0.011235130383762337
20260506,-12876.798,770.0371,-13646.835,79,44,35,0.005846452561046878
20260507,-21758.816,-15584.607,-6174.209,49,29,20,0.007017398296708666
20260508,-12750.639,-6522.087,-6228.5522,31,15,16,0.005777082200749573
