TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20260204,-4921.69,-2858.9507,-2062.7393,128,60,68,0.01295998736770776
20260205,7341.978,15015.72,-7673.7417,193,127,66,0.014124070258387689
20260206,-3115.5322,2607.3223,-5722.8545,243,174,69,0.01568196351665785
20260209,-37744.047,-26363.086,-11380.962,255,173,82,0.017889027476731045
20260210,-5320.8184,-4607.863,-712.9553,37,21,16,0.007796017323718929
20260211,-4736.2563,-7541.6206,2805.3643,22,15,7,0.008523127251475637
20260212,-7132.231,-5950.727,-1181.504,44,29,15,0.007591756142953376
20260213,5982.0645,4299.805,1682.2593,8,2,6,0.009021161866548555
20260224,-13491.191,-11033.416,-2457.7751,98,75,23,0.014429029150858419
20260225,-9055.264,-9500.364,445.10034,81,51,30,0.0095883579077356
20260226,-527.32715,-5371.854,4844.527,38,31,7,0.008008969347862105
20260227,5662.7446,10685.646,-5022.902,32,11,21,0.008281417091459464
20260302,-3709.8132,-2126.1318,-1583.6814,57,38,19,0.008460107184267374
20260303,36210.86,4079.1743,32131.686,329,217,112,0.01949449845252116
20260304,-34952.945,-20010.805,-14942.143,547,314,233,0.03403260282759457
20260305,-48133.496,-20881.143,-27252.354,426,233,193,0.014626369437430231
20260306,-6588.549,-7583.6235,995.0747,81,54,27,0.006840852320330937
20260309,-47360.77,-34457.223,-12903.547,219,158,61,0.010999562506433525
20260310,-79019.58,-51436.2,-27583.377,463,235,228,0.019417564212384053
20260311,-602.4595,1668.9907,-2271.4502,12,7,5,0.005193369766798073
20260312,-606.6013,1500.9421,-2107.5435,43,30,13,0.007695168552101617
20260313,5622.6055,4714.478,908.1274,73,38,35,0.010574982057599991
20260316,10079.121,6541.3364,3537.7842,132,83,49,0.011214265377560761
20260317,-3857.1729,734.4053,-4591.578,161,91,70,0.010805364459035682
20260318,434.0564,-2368.1057,2802.162,106,54,52,0.009169501434839966
20260319,-2546.935,-9338.879,6791.944,136,83,53,0.013088735519549255
20260320,-25912.102,-21997.037,-3915.065,517,313,204,0.016508831081312403
20260323,18377.176,6402.865,11974.311,269,148,121,0.01576703607261365
20260324,-117742.83,-65321.754,-52421.07,937,475,462,0.03093642188886414
20260325,-50096.16,-31130.092,-18966.068,541,301,240,0.013981531659838065
20260326,-32942.426,-21264.852,-11677.574,140,75,65,0.00921235092395567
20260327,13710.024,12524.959,1185.0657,91,43,48,0.007003661909411152
20260330,-24056.395,-13785.693,-10270.702,256,156,100,0.010271871673742106
20260331,-7836.4453,747.75574,-8584.201,204,120,84,0.008159967565769088
20260401,11010.917,13119.356,-2108.4392,168,104,64,0.009484560451374136
20260402,-12145.984,-3025.911,-9120.073,125,52,73,0.012462020272712926
20260403,-5236.399,3951.7202,-9188.119,79,33,46,0.008771387454109214
20260407,-2275.2803,-2487.7905,212.51025,53,37,16,0.0070499339084615364
20260408,6409.7207,6115.1987,294.52173,233,149,84,0.01318729491234083
20260409,-4686.757,-7485.226,2798.469,57,46,11,0.010053194292321543
20260410,2272.498,1337.2527,935.24536,79,41,38,0.008368300364959391
20260413,-7358.1807,-10307.06,2948.8792,61,34,27,0.008952720188699415
20260414,-4535.0293,-5739.4453,1204.4158,50,24,26,0.00730825234449517
20260415,-18025.672,-16193.263,-1832.4083,95,60,35,0.01070075193148079
20260416,-13354.32,-9288.75,-4065.57,63,23,40,0.007526210216805218
20260417,7701.7485,1950.4323,5751.3164,52,33,19,0.006656497661615357
20260420,-3072.9397,2097.5378,-5170.4775,7,6,1,0.004500266350597193
20260421,-4366.7705,-4524.5,157.72955,68,26,42,0.012993188471628114
20260422,-10635.094,-1006.072,-9629.021,57,38,19,0.009583852278101546
20260423,5932.481,-7822.392,13754.873,78,46,32,0.008187300183325252
20260424,-1854.4141,-7480.6396,5626.2256,85,50,35,0.011429437817182309
20260427,-33006.215,-25958.758,-7047.4575,177,108,69,0.015884960840260587
20260428,-3341.7551,-5514.665,2172.91,72,39,33,0.008421300108321206
20260429,-10405.496,-8748.24,-1657.2563,122,82,40,0.010519135482614073
20260430,-27346.291,-21065.84,-6280.4507,78,48,30,0.011235130383762337
20260506,10405.238,13728.314,-3323.076,79,44,35,0.005846452561046878
20260507,-7283.829,-7027.242,-256.5871,49,29,20,0.007017398296708666
20260508,-3626.4644,-2107.0483,-1519.4161,31,15,16,0.005777082200749573
