TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20260204,4021.582,1319.8242,2701.7578,128,60,68,0.01295998736770776
20260205,20822.168,23881.348,-3059.1797,193,127,66,0.014124070258387689
20260206,13803.076,14702.051,-898.9746,243,174,69,0.01568196351665785
20260209,-19739.648,-14160.059,-5579.59,255,173,82,0.017889027476731045
20260210,-2699.707,-3120.1172,420.41016,37,21,16,0.007796017323718929
20260211,-3180.0293,-6480.176,3300.1465,22,15,7,0.008523127251475637
20260212,-4020.4102,-3900.0,-120.41016,44,29,15,0.007591756142953376
20260213,6540.2344,4440.088,2100.1465,8,2,6,0.009021161866548555
20260224,-6599.2676,-5759.1797,-840.0879,98,75,23,0.014429029150858419
20260225,-3299.8535,-5879.59,2579.7363,81,51,30,0.0095883579077356
20260226,2160.3516,-3179.2969,5339.6484,38,31,7,0.008008969347862105
20260227,7921.1426,11460.645,-3539.502,32,11,21,0.008281417091459464
20260302,299.26758,539.7949,-240.52734,57,38,19,0.008460107184267374
20260303,59282.81,19322.168,39960.64,329,217,112,0.01949449845252116
20260304,2763.5742,1681.0547,1082.5195,547,314,233,0.03403260282759457
20260305,-18539.355,-4679.4434,-13859.912,426,233,193,0.014626369437430231
20260306,-959.3262,-3839.6484,2880.3223,81,54,27,0.006840852320330937
20260309,-32397.51,-23698.682,-8698.828,219,158,61,0.010999562506433525
20260310,-46678.71,-35039.355,-11639.355,463,235,228,0.019417564212384053
20260311,240.23438,2160.3516,-1920.1172,12,7,5,0.005193369766798073
20260312,2400.7324,3600.293,-1199.5605,43,30,13,0.007695168552101617
20260313,10739.941,7380.3223,3359.6191,73,38,35,0.010574982057599991
20260316,19260.498,12301.025,6959.4727,132,83,49,0.011214265377560761
20260317,7438.623,7138.916,299.70703,161,91,70,0.010805364459035682
20260318,7801.6113,1380.9082,6420.703,106,54,52,0.009169501434839966
20260319,6840.381,-3600.0,10440.381,136,83,53,0.013088735519549255
20260320,9182.373,-719.53125,9901.904,517,313,204,0.016508831081312403
20260323,36060.645,16200.146,19860.498,269,148,121,0.01576703607261365
20260324,-56516.895,-34320.41,-22196.484,937,475,462,0.03093642188886414
20260325,-13981.201,-11040.674,-2940.5273,541,301,240,0.013981531659838065
20260326,-23639.502,-16260.205,-7379.297,140,75,65,0.00921235092395567
20260327,19740.527,15360.205,4380.3223,91,43,48,0.007003661909411152
20260330,-7201.0254,-3539.0625,-3661.963,256,156,100,0.010271871673742106
20260331,5641.992,8701.611,-3059.6191,204,120,84,0.008159967565769088
20260401,22200.586,20041.7,2158.8867,168,104,64,0.009484560451374136
20260402,-3900.1465,420.1172,-4320.2637,125,52,73,0.012462020272712926
20260403,-59.765625,6120.117,-6179.883,79,33,46,0.008771387454109214
20260407,1200.1465,-60.058594,1260.2051,53,37,16,0.0070499339084615364
20260408,22139.795,16139.0625,6000.7324,233,149,84,0.01318729491234083
20260409,-839.50195,-4379.4434,3539.9414,57,46,11,0.010053194292321543
20260410,7680.3223,4139.9414,3540.3809,79,41,38,0.008368300364959391
20260413,-3179.5898,-7979.7363,4800.1465,61,34,27,0.008952720188699415
20260414,-1080.0293,-4080.1758,3000.1465,50,24,26,0.00730825234449517
20260415,-11400.293,-12000.146,599.8535,95,60,35,0.01070075193148079
20260416,-8939.648,-7680.4688,-1259.1797,63,23,40,0.007526210216805218
20260417,11340.527,4260.205,7080.3223,52,33,19,0.006656497661615357
20260420,-2580.0293,2519.9707,-5100.0,7,6,1,0.004500266350597193
20260421,419.82422,-2699.8535,3119.6777,68,26,42,0.012993188471628114
20260422,-6599.8535,1680.1758,-8280.029,57,38,19,0.009583852278101546
20260423,11460.791,-4559.4727,16020.264,78,46,32,0.008187300183325252
20260424,4139.9414,-3959.912,8099.8535,85,50,35,0.011429437817182309
20260427,-20461.523,-18300.146,-2161.377,177,108,69,0.015884960840260587
20260428,1740.5273,-2759.0332,4499.5605,72,39,33,0.008421300108321206
20260429,-1740.2344,-2940.088,1199.8535,122,82,40,0.010519135482614073
20260430,-21780.322,-17640.234,-4140.088,78,48,30,0.011235130383762337
20260506,16139.502,16919.678,-780.1758,79,44,35,0.005846452561046878
20260507,-3718.5059,-4919.385,1200.8789,49,29,20,0.007017398296708666
20260508,-1379.0039,-1019.38477,-359.61914,31,15,16,0.005777082200749573
