TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20260204,-106299.65,-59334.418,-46965.23,343,176,167,0.04763216431548967
20260205,-73789.11,-36511.016,-37278.094,336,185,151,0.05023464385966936
20260206,-112282.66,-57643.977,-54638.684,439,271,168,0.05348732088035113
20260209,-114573.4,-62020.54,-52552.86,358,204,154,0.05433171018851335
20260210,-48552.383,-26150.248,-22402.135,144,86,58,0.048215880469142824
20260211,-26587.418,-13120.415,-13467.002,80,39,41,0.05228159262555521
20260212,-16827.97,-6203.7344,-10624.236,71,44,27,0.05574970788771416
20260213,-32446.324,-16100.699,-16345.626,79,35,44,0.06843457574452971
20260224,-98647.09,-61462.617,-37184.473,270,160,110,0.05861945624472176
20260225,-52878.215,-29076.445,-23801.77,210,113,97,0.06201870870392012
20260226,-37016.78,-21412.234,-15604.549,132,81,51,0.06814748124408165
20260227,-34042.086,-20318.344,-13723.742,110,59,51,0.06807542940109579
20260302,-45997.7,-38899.703,-7097.995,125,79,46,0.06393604719695023
20260303,-98017.17,-62389.797,-35627.375,443,229,214,0.06086108407736701
20260304,-153809.19,-67780.16,-86029.03,546,291,255,0.07315771499660029
20260305,-244235.78,-116123.64,-128112.15,689,351,338,0.05302785828903556
20260306,-51363.46,-26271.334,-25092.129,203,109,94,0.04131345463060965
20260309,-51080.07,-27831.61,-23248.463,263,137,126,0.0499374995271904
20260310,-211817.44,-108538.9,-103278.54,611,321,290,0.048327815843193456
20260311,-24584.234,-19385.217,-5199.0176,108,64,44,0.043881401533655606
20260312,-43448.664,-27018.79,-16429.877,120,59,61,0.06570332336328688
20260313,-66435.95,-41349.33,-25086.625,191,96,95,0.05762543752226024
20260316,-64642.688,-31745.74,-32896.945,244,128,116,0.05565163958850394
20260317,-99644.625,-52034.22,-47610.406,360,202,158,0.04553724937411352
20260318,-70249.1,-34505.004,-35744.098,299,141,158,0.05459739261959273
20260319,-60657.215,-36807.53,-23849.684,241,111,130,0.056865864701771685
20260320,-133159.7,-67851.9,-65307.8,535,273,262,0.04586100029397511
20260323,-42066.062,-5482.01,-36584.055,377,164,213,0.04848146103768569
20260324,-209072.5,-96930.67,-112141.83,766,375,391,0.05245921780994167
20260325,-158421.0,-84446.25,-73974.74,593,327,266,0.0454490132513834
20260326,-82434.234,-40550.65,-41883.582,234,100,134,0.038606322524442516
20260327,-68235.875,-30242.406,-37993.473,198,90,108,0.03762369312398817
20260330,-70587.85,-40597.91,-29989.94,280,162,118,0.04094515004750343
20260331,-94396.36,-61506.535,-32889.83,285,166,119,0.03309977815314491
20260401,-108116.5,-56016.137,-52100.367,340,190,150,0.0415261548165462
20260402,-66466.24,-21326.256,-45139.984,166,79,87,0.046251055951461284
20260403,-77655.914,-43335.027,-34320.887,224,105,119,0.04139858927192752
20260407,-58054.18,-26965.39,-31088.787,227,109,118,0.050647631395365544
20260408,-94660.28,-45980.375,-48679.906,354,211,143,0.052954699340212796
20260409,-56426.64,-35539.586,-20887.057,160,87,73,0.044932693411065316
20260410,-60384.434,-31501.936,-28882.498,180,85,95,0.05156899077045274
20260413,-41321.227,-25716.19,-15605.039,149,85,64,0.05037005979180953
20260414,-29830.365,-14364.307,-15466.059,143,69,74,0.042780655504759624
20260415,-30877.105,-5289.84,-25587.266,124,63,61,0.048157012258638
20260416,-27214.28,-16043.492,-11170.787,124,68,56,0.04135271146578734
20260417,-27433.633,-17243.676,-10189.958,99,57,42,0.04621877486271353
20260420,-8054.2554,370.25244,-8424.508,62,35,27,0.044475779457700204
20260421,-47442.344,-27604.764,-19837.58,158,72,86,0.05177288080523046
20260422,-44040.32,-29197.826,-14842.496,106,59,47,0.04744426586392392
20260423,-32829.137,-19352.611,-13476.525,157,85,72,0.04953236974242836
20260424,-34179.254,-12803.05,-21376.205,164,77,87,0.043586598674374755
20260427,-47787.14,-32654.805,-15132.336,140,82,58,0.04644620033023383
20260428,-48156.816,-25048.027,-23108.79,132,60,72,0.039050659568978796
20260429,-43466.133,-23512.244,-19953.89,146,83,63,0.044639514543030945
20260430,-60542.82,-39493.145,-21049.676,122,67,55,0.05267831134645773
20260506,-48336.367,-24853.348,-23483.021,156,75,81,0.041445066287803534
20260507,-54850.35,-26631.709,-28218.64,127,70,57,0.03849214692794933
20260508,-23437.025,-12912.801,-10524.225,73,43,30,0.04455076941320191
