TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20260204,-9021.818,-9559.3125,537.4946,343,176,167,0.04763216431548967
20260205,21476.076,15894.25,5581.8257,336,185,151,0.05023464385966936
20260206,11991.148,18937.28,-6946.1304,439,271,168,0.05348732088035113
20260209,-11908.139,-3593.1333,-8315.005,358,204,154,0.05433171018851335
20260210,-7140.7227,-1413.7538,-5726.9688,144,86,58,0.048215880469142824
20260211,-3618.0479,-1919.179,-1698.869,80,39,41,0.05228159262555521
20260212,3558.3691,6428.587,-2870.2178,71,44,27,0.05574970788771416
20260213,-10023.427,-6118.972,-3904.4543,79,35,44,0.06843457574452971
20260224,-21516.365,-15756.409,-5759.9565,270,160,110,0.05861945624472176
20260225,7698.2573,3497.1821,4201.075,210,113,97,0.06201870870392012
20260226,869.73865,1835.2227,-965.484,132,81,51,0.06814748124408165
20260227,-2539.0989,-3437.5974,898.4986,110,59,51,0.06807542940109579
20260302,-10292.799,-16400.395,6107.5957,125,79,46,0.06393604719695023
20260303,28049.695,2932.1714,25117.523,443,229,214,0.06086108407736701
20260304,-1028.7227,13805.144,-14833.866,546,291,255,0.07315771499660029
20260305,-49857.24,-17026.68,-32830.56,689,351,338,0.05302785828903556
20260306,5977.918,4437.397,1540.5209,203,109,94,0.04131345463060965
20260309,22064.72,10049.316,12015.404,263,137,126,0.0499374995271904
20260310,-38537.13,-17597.85,-20939.28,611,321,290,0.048327815843193456
20260311,6212.8477,-1135.4762,7348.3237,108,64,44,0.043881401533655606
20260312,-9404.49,-10250.07,845.5799,120,59,61,0.06570332336328688
20260313,-12070.798,-13996.598,1925.8002,191,96,95,0.05762543752226024
20260316,4316.7305,4317.373,-0.64263916,244,128,116,0.05565163958850394
20260317,2884.0288,5699.221,-2815.1924,360,202,158,0.04553724937411352
20260318,14088.103,5217.1016,8871.001,299,141,158,0.05459739261959273
20260319,6837.2695,-5636.7383,12474.008,241,111,130,0.056865864701771685
20260320,14218.659,7486.198,6732.461,535,273,262,0.04586100029397511
20260323,58313.906,38584.516,19729.389,377,164,213,0.04848146103768569
20260324,-5744.9263,2457.313,-8202.239,766,375,391,0.05245921780994167
20260325,2340.8389,4203.431,-1862.5924,593,327,266,0.0454490132513834
20260326,-19373.66,-13454.014,-5919.647,234,100,134,0.038606322524442516
20260327,-14930.637,-6121.3037,-8809.333,198,90,108,0.03762369312398817
20260330,4297.377,2618.2744,1679.1025,280,162,118,0.04094515004750343
20260331,-17932.502,-16824.387,-1108.1152,285,166,119,0.03309977815314491
20260401,-16166.387,-4666.312,-11500.074,340,190,150,0.0415261548165462
20260402,-21994.676,-75.18288,-21919.492,166,79,87,0.046251055951461284
20260403,-18043.277,-15304.641,-2738.6365,224,105,119,0.04139858927192752
20260407,2341.9436,2083.374,258.56955,227,109,118,0.050647631395365544
20260408,2475.7383,11710.819,-9235.081,354,211,143,0.052954699340212796
20260409,-12595.995,-11693.18,-902.8154,160,87,73,0.044932693411065316
20260410,-10345.14,-7911.1924,-2433.9473,180,85,95,0.05156899077045274
20260413,113.21338,-2098.1064,2211.3198,149,85,64,0.05037005979180953
20260414,10328.725,5008.259,5320.466,143,69,74,0.042780655504759624
20260415,4200.4033,12579.033,-8378.63,124,63,61,0.048157012258638
20260416,8053.9375,3280.4666,4773.471,124,68,56,0.04135271146578734
20260417,692.43823,-1047.9824,1740.4207,99,57,42,0.04621877486271353
20260420,9672.861,10375.436,-702.57416,62,35,27,0.044475779457700204
20260421,-2299.0283,-7092.259,4793.2305,158,72,86,0.05177288080523046
20260422,-13565.23,-12269.0625,-1296.1681,106,59,47,0.04744426586392392
20260423,12334.974,5130.05,7204.924,157,85,72,0.04953236974242836
20260424,12790.693,9216.352,3574.3413,164,77,87,0.043586598674374755
20260427,-7518.8887,-9052.961,1534.072,140,82,58,0.04644620033023383
20260428,-10334.888,-7838.6816,-2496.2058,132,60,72,0.039050659568978796
20260429,-1319.9976,360.81525,-1680.8127,146,83,63,0.044639514543030945
20260430,-25204.215,-20081.543,-5122.672,122,67,55,0.05267831134645773
20260506,-2331.959,-2746.4648,414.5058,156,75,81,0.041445066287803534
20260507,-17338.268,-5985.1704,-11353.098,127,70,57,0.03849214692794933
20260508,-1935.8827,-240.7643,-1695.1184,73,43,30,0.04455076941320191
