TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20260204,14937.891,2700.586,12237.305,343,176,167,0.04763216431548967
20260205,44940.383,28802.197,16138.184,336,185,151,0.05023464385966936
20260206,42600.29,37799.266,4801.0254,439,271,168,0.05348732088035113
20260209,13378.564,10797.656,2580.9082,358,204,154,0.05433171018851335
20260210,3059.1797,4679.004,-1619.8242,144,86,58,0.048215880469142824
20260211,2039.502,839.7949,1199.707,80,39,41,0.05228159262555521
20260212,8579.59,9539.941,-960.35156,71,44,27,0.05574970788771416
20260213,-4500.1465,-3660.3516,-839.7949,79,35,44,0.06843457574452971
20260224,-2518.7988,-4498.9746,1980.1758,270,160,110,0.05861945624472176
20260225,22618.36,11519.824,11098.535,210,113,97,0.06201870870392012
20260226,10201.611,7561.377,2640.2344,132,81,51,0.06814748124408165
20260227,5220.117,720.2637,4499.8535,110,59,51,0.06807542940109579
20260302,-1498.6816,-10858.74,9360.059,125,79,46,0.06393604719695023
20260303,59101.16,19021.582,40079.58,443,229,214,0.06086108407736701
20260304,36602.05,33900.293,2701.7578,546,291,255,0.07315771499660029
20260305,-1980.7617,7381.3477,-9362.109,689,351,338,0.05302785828903556
20260306,20101.172,12000.879,8100.293,203,109,94,0.04131345463060965
20260309,40080.176,19379.443,20700.732,263,137,126,0.0499374995271904
20260310,4142.578,4801.3184,-658.74023,611,321,290,0.048327815843193456
20260311,13798.242,3359.4727,10438.77,108,64,44,0.043881401533655606
20260312,-1019.0918,-6119.5312,5100.4395,120,59,61,0.06570332336328688
20260313,1319.6777,-7259.619,8579.297,191,96,95,0.05762543752226024
20260316,21301.904,13200.146,8101.758,244,128,116,0.05565163958850394
20260317,28137.744,19919.238,8218.506,360,202,158,0.04553724937411352
20260318,34860.79,15001.025,19859.766,299,141,158,0.05459739261959273
20260319,23461.67,2040.8203,21420.85,241,111,130,0.056865864701771685
20260320,50518.945,26042.139,24476.807,535,273,262,0.04586100029397511
20260323,83038.77,49438.773,33600.0,377,164,213,0.04848146103768569
20260324,44335.547,26937.158,17398.389,766,375,391,0.05245921780994167
20260325,41937.156,26038.184,15898.975,593,327,266,0.0454490132513834
20260326,-3841.1133,-6779.883,2938.7695,234,100,134,0.038606322524442516
20260327,-1801.4648,-180.46875,-1620.9961,198,90,108,0.03762369312398817
20260330,22741.7,13262.402,9479.297,280,162,118,0.04094515004750343
20260331,901.31836,-5818.6523,6719.9707,285,166,119,0.03309977815314491
20260401,6481.201,7981.3477,-1500.1465,340,190,150,0.0415261548165462
20260402,-11040.967,5159.1797,-16200.146,166,79,87,0.046251055951461284
20260403,-3360.0586,-8400.293,5040.2344,224,105,119,0.04139858927192752
20260407,17217.92,9238.33,7979.59,227,109,118,0.050647631395365544
20260408,26400.146,25919.97,480.17578,354,211,143,0.052954699340212796
20260409,-1800.293,-5819.6777,4019.3848,160,87,73,0.044932693411065316
20260410,1979.5898,-2100.879,4080.4688,180,85,95,0.05156899077045274
20260413,10318.652,3719.0918,6599.5605,149,85,64,0.05037005979180953
20260414,20219.824,9779.736,10440.088,143,69,74,0.042780655504759624
20260415,12840.527,16980.469,-4139.9414,124,63,61,0.048157012258638
20260416,16740.38,8039.795,8700.586,124,68,56,0.04135271146578734
20260417,7619.9707,2941.1133,4678.8574,99,57,42,0.04621877486271353
20260420,14038.916,12839.502,1199.4141,62,35,27,0.044475779457700204
20260421,8819.971,-2039.7949,10859.766,158,72,86,0.05177288080523046
20260422,-6059.326,-8099.5605,2040.2344,106,59,47,0.04744426586392392
20260423,23459.326,11160.645,12298.682,157,85,72,0.04953236974242836
20260424,24359.766,14640.088,9719.678,164,77,87,0.043586598674374755
20260427,2399.5605,-3239.6484,5639.209,140,82,58,0.04644620033023383
20260428,-1019.0918,-3600.0,2580.9082,132,60,72,0.039050659568978796
20260429,9060.352,6240.5273,2819.8242,146,83,63,0.044639514543030945
20260430,-16500.146,-15300.293,-1199.8535,122,67,55,0.05267831134645773
20260506,8998.975,2698.2422,6300.7324,156,75,81,0.041445066287803534
20260507,-8098.828,-899.70703,-7199.121,127,70,57,0.03849214692794933
20260508,3360.0586,2880.6152,479.44336,73,43,30,0.04455076941320191
