TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20260204,6839.0293,-9845.246,16684.275,299,156,143,0.004282210118833896
20260205,-1859.065,-9647.55,7788.485,201,103,98,0.003847188947846414
20260206,-47649.07,-21653.326,-25995.744,414,243,171,0.00412414774497627
20260209,-55529.633,-21384.344,-34145.29,702,383,319,0.00915271940781004
20260210,488.63397,-69.52417,558.15814,71,45,26,0.005861189561585212
20260211,-1495.9939,-433.12518,-1062.8688,89,57,32,0.007254199778797155
20260212,-8659.665,-6930.1885,-1729.4762,69,42,27,0.0062893248865967255
20260213,-17006.396,-10452.614,-6553.7817,33,13,20,0.005454869588003786
20260224,-5131.615,-7705.8086,2574.1936,67,49,18,0.004139777568253122
20260225,8080.3184,8280.51,-200.19165,121,71,50,0.004285303880097624
20260226,-5684.1597,-4793.334,-890.8257,66,50,16,0.0083144795293294
20260227,-2010.7603,98.678955,-2109.4392,71,25,46,0.005488562812317688
20260302,18297.83,13002.711,5295.119,70,49,21,0.004757841547813335
20260303,14110.037,-2037.5854,16147.622,618,322,296,0.00958293681053446
20260304,-750.4199,17093.322,-17843.742,420,219,201,0.005817896326917427
20260305,-29386.312,-15194.679,-14191.633,385,203,182,0.0028712657886722504
20260306,8368.643,7861.3574,507.28528,91,51,40,0.0026637796653312673
20260309,-2403.3691,-3315.3884,912.0194,169,83,86,0.00469460895979279
20260310,-12232.139,-5860.2676,-6371.871,243,115,128,0.0026915030087136804
20260311,4455.264,1238.9795,3216.2847,57,43,14,0.00466085400873717
20260312,-10345.238,-12391.627,2046.3889,63,33,30,0.005745168787102184
20260313,-1202.0225,-6964.9,5762.8774,66,30,36,0.00394206326706481
20260316,26382.402,12940.461,13441.94,146,79,67,0.003827314248592062
20260317,8565.919,4500.246,4065.673,261,150,111,0.004076299712016063
20260318,-7246.6167,5197.9585,-12444.575,81,47,34,0.0037047419705558138
20260319,-19569.12,-17946.062,-1623.0574,368,171,197,0.005571647056470064
20260320,25921.418,8859.185,17062.232,336,183,153,0.0028884547371390568
20260323,69420.42,37975.656,31444.77,354,156,198,0.005262980198816547
20260324,-42000.85,-15513.46,-26487.393,669,323,346,0.006784985754967332
20260325,14463.871,3832.2954,10631.576,301,161,140,0.0025738358759016533
20260326,-17741.562,-6955.164,-10786.397,279,133,146,0.004823425283735139
20260327,-10217.047,-15684.266,5467.2188,22,14,8,0.0020052121617493146
20260330,-4338.5967,2193.7354,-6532.332,302,185,117,0.00465063261401899
20260331,-7032.833,-4913.296,-2119.5374,161,95,66,0.0028299298612468604
20260401,-1390.3193,3451.0698,-4841.389,83,59,24,0.0023936769814533188
20260402,-5129.716,-1122.1664,-4007.5493,95,45,50,0.0033563158692369033
20260403,11903.343,12846.143,-942.79956,28,20,8,0.0015440675734367248
20260407,7191.8213,5800.8994,1390.9221,34,14,20,0.003209131983085589
20260408,-6880.466,7200.5615,-14081.027,329,188,141,0.0053485411061443555
20260409,675.0659,450.06677,224.99911,6,4,2,0.002790973580858336
20260410,-6935.979,-6258.928,-677.05096,61,38,23,0.0026197235592786416
20260413,-868.8192,-303.1943,-565.6249,60,36,24,0.0028878301724375444
20260414,16772.775,7308.1567,9464.618,49,21,28,0.002984970575850121
20260415,-19351.54,-9300.641,-10050.899,84,49,35,0.0037042420738380155
20260416,-10700.49,-7159.367,-3541.1226,14,8,6,0.0023123792466792636
20260417,7912.2217,3111.431,4800.791,55,37,18,0.0030639048142475644
20260420,6526.518,5347.583,1178.9352,7,5,2,0.0024953029999369436
20260421,-1766.8716,-1743.5609,-23.310669,182,83,99,0.005222831933478944
20260422,-6207.4805,-8676.0205,2468.54,103,71,32,0.00476799221061841
20260423,-15637.255,-19753.943,4116.6885,59,29,30,0.0027903382518457143
20260424,-7233.4253,-412.70123,-6820.724,117,51,66,0.0035431446620508567
20260427,-10867.592,-11940.039,1072.4469,78,44,34,0.0028435522672902724
20260428,-12791.798,-13224.864,433.066,24,8,16,0.0021285364981895594
20260429,-5665.7715,-2335.6077,-3330.164,153,77,76,0.003665661609198567
20260430,-4210.43,-8514.4795,4304.0493,38,26,12,0.004017380613882238
20260506,3609.9214,3752.9463,-143.02495,75,40,35,0.0030130222371632653
20260507,-4024.522,-7537.96,3513.438,38,22,16,0.002030286855553398
20260508,7458.6665,7728.9106,-270.24414,32,20,12,0.003058978402448509
