TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20180104,0.0,0.0,0.0,0,0,0,0.02500759039703737
20180105,-2.147388458251953,-2.147388458251953,0.0,1,1,0,0.02154223076081163
20180108,-3542.11767578125,-3542.11767578125,0.0,1,1,0,0.026150087723994075
20180109,-1865.000732421875,-1865.000732421875,0.0,2,2,0,0.022732580569182592
20180110,0.0,0.0,0.0,0,0,0,0.025073795759622985
20180111,0.0,0.0,0.0,0,0,0,0.029415441031401035
20180112,2456.9970703125,0.0,2456.9970703125,1,0,1,0.027535515856999093
20180115,-3550.828857421875,-967.162353515625,-2583.66650390625,3,2,1,0.02974366809767559
20180116,0.0,0.0,0.0,0,0,0,0.02915603139989531
20180117,0.0,0.0,0.0,0,0,0,0.011146976267111364
20180118,0.0,0.0,0.0,0,0,0,0.02297725535130113
20180119,-4388.8349609375,-4144.4453125,-244.38978576660156,2,1,1,0.028551164217482827
20180122,-1084.6641845703125,-1084.6641845703125,0.0,1,1,0,0.020666969239386712
20180123,-934.05859375,31.618896484375,-965.677490234375,6,5,1,0.036542168701278466
20180124,-5057.673828125,-5057.673828125,0.0,13,13,0,0.04031335114270396
20180125,12597.970703125,15615.2890625,-3017.318603515625,11,8,3,0.03136151132546461
20180126,-10896.3828125,3648.71435546875,-14545.0966796875,6,2,4,0.032380493082691086
20180129,10640.0517578125,11430.2939453125,-790.2420654296875,7,5,2,0.02758437511935552
20180130,-8413.2822265625,1135.364990234375,-9548.6474609375,3,1,2,0.025557802947935304
20180131,-5448.337890625,-3031.68310546875,-2416.65478515625,12,8,4,0.0326300292978694
20180201,10963.505859375,15947.09765625,-4983.591796875,4,3,1,0.032077861017942855
20180202,4750.685546875,-2013.631103515625,6764.31689453125,14,10,4,0.026139280248619556
20180205,-11993.1181640625,-7961.54248046875,-4031.575439453125,31,28,3,0.0447610525460026
20180206,33886.359375,14753.38671875,19132.97265625,27,24,3,0.03757629289985831
20180207,38873.0625,21192.203125,17680.859375,68,48,20,0.053171720410071344
20180208,2304.7529296875,-5674.65869140625,7979.41162109375,70,48,22,0.044398630056581845
20180209,29645.94140625,24188.107421875,5457.83349609375,79,61,18,0.048765914003635724
20180212,-42789.8046875,-12797.703125,-29992.103515625,303,173,130,0.07251373526489702
20180213,-9039.5224609375,-10425.224609375,1385.7021484375,21,15,6,0.023362512103056288
20180214,-7664.1455078125,-6769.02880859375,-895.116455078125,14,9,5,0.022642112740721476
20180222,-2101.05078125,-720.0849609375,-1380.9659423828125,6,3,3,0.019013090214873518
20180223,8636.951171875,8636.951171875,0.0,4,4,0,0.020604147489879376
20180226,353.9942626953125,-1024.79931640625,1378.7935791015625,5,4,1,0.02854430120436502
20180227,7487.240234375,11208.056640625,-3720.816162109375,11,10,1,0.0390866049681694
20180228,13915.77734375,-1801.923583984375,15717.701171875,29,22,7,0.028554150995550254
20180301,8876.6806640625,3718.52685546875,5158.15380859375,13,9,4,0.03836148517040616
20180302,-5161.7724609375,-3001.604736328125,-2160.16748046875,8,6,2,0.021825450725477147
20180305,6838.0361328125,-302.527587890625,7140.5634765625,16,10,6,0.03245596619556812
20180306,13196.18359375,-61.143310546875,13257.3271484375,9,5,4,0.02265211887448393
20180307,-5283.77978515625,118.16665649414062,-5401.9462890625,5,2,3,0.02150791589579437
20180308,-5344.015625,-3001.271240234375,-2342.744140625,6,3,3,0.02214286967103285
20180309,-6306.8603515625,-4562.53125,-1744.328857421875,5,2,3,0.025787235996917457
20180312,1738.02001953125,1738.02001953125,0.0,1,1,0,0.0215782537935717
20180313,0.0,0.0,0.0,0,0,0,0.011323112523551226
20180314,0.0,0.0,0.0,0,0,0,0.00864865626261968
20180315,0.0,0.0,0.0,0,0,0,0.015149426355940965
20180316,0.0,0.0,0.0,0,0,0,0.020801557751936817
20180319,0.0,0.0,0.0,0,0,0,0.012606890957014727
20180320,10554.857421875,3417.197509765625,7137.66015625,9,6,3,0.03520938431689191
20180321,3537.6748046875,3537.6748046875,0.0,2,2,0,0.017851171618447736
20180322,8459.236328125,8459.236328125,0.0,2,2,0,0.016436290152060162
20180323,29746.556640625,20006.234375,9740.322265625,19,12,7,0.03029712284124697
20180326,17681.53515625,17186.95703125,494.5785827636719,89,57,32,0.0640591303605611
20180327,5845.7705078125,-3.302978515625,5849.0732421875,56,39,17,0.05057897770101616
20180328,11846.341796875,17543.58984375,-5697.24853515625,12,11,1,0.028919502314467382
20180329,4555.337890625,16484.955078125,-11929.6171875,21,16,5,0.031980787220597606
20180330,14896.919921875,2770.38525390625,12126.5341796875,10,6,4,0.02975482031247334
20180402,-3592.8818359375,-2276.51123046875,-1316.37060546875,4,2,2,0.02177778498565186
20180403,-5458.2548828125,-3247.00634765625,-2211.24853515625,27,23,4,0.0360324390648199
20180404,-12693.626953125,-6704.736328125,-5988.89111328125,13,8,5,0.02844494419056065
20180409,-20441.681640625,-24643.95703125,4202.27587890625,8,7,1,0.026412847258775463
20180410,5212.5,3870.732666015625,1341.767578125,29,15,14,0.0354422758470172
20180411,-6355.89697265625,-6176.93408203125,-178.96270751953125,4,3,1,0.021495827344916396
20180412,-7736.1123046875,-4137.46142578125,-3598.651123046875,3,2,1,0.02075185129601631
20180413,-2810.2099609375,-3296.43212890625,486.22210693359375,6,3,3,0.019566427527961228
20180416,-1437.6475830078125,-1437.6475830078125,0.0,1,1,0,0.01513096796962865
20180417,-1607.948486328125,2168.662109375,-3776.610595703125,4,3,1,0.01604515916927063
20180418,18322.630859375,15979.1748046875,2343.4560546875,6,5,1,0.01674669439427301
20180419,-6635.6435546875,-3938.325927734375,-2697.317626953125,8,7,1,0.02713416739326513
20180420,903.579345703125,0.0,903.579345703125,1,0,1,0.02287675699198677
20180423,23101.265625,13305.65625,9795.609375,16,12,4,0.0351581195037689
20180424,14843.296875,17773.25390625,-2929.957275390625,28,24,4,0.03244698656653766
20180425,-2195.822021484375,-1481.302978515625,-714.5189819335938,9,7,2,0.026396221039586276
20180426,9333.845703125,7165.900390625,2167.945068359375,10,8,2,0.022889765535551332
20180427,-5141.6396484375,-3292.70751953125,-1848.9322509765625,5,2,3,0.02309162256753372
20180502,7423.20166015625,11679.3017578125,-4256.10009765625,12,11,1,0.025727736172075133
20180503,5463.52734375,4647.1005859375,816.427001953125,18,7,11,0.026453657827456345
20180504,-4038.66455078125,-4973.31005859375,934.6453857421875,12,2,10,0.023648072387482677
20180507,-6035.8349609375,-6035.8349609375,0.0,8,8,0,0.01884015388515292
20180508,-9417.8671875,-9417.8671875,0.0,1,1,0,0.013563550572079586
20180509,0.0,0.0,0.0,0,0,0,0.012214877483450737
20180510,0.0,0.0,0.0,0,0,0,0.011813290544485988
20180511,1143.5869140625,0.0,1143.5869140625,2,0,2,0.01798903813917241
20180514,-1737.437255859375,-1618.7283935546875,-118.70884704589844,2,1,1,0.013607231036001588
20180515,0.0,0.0,0.0,0,0,0,0.011732390446193453
20180516,481.31390380859375,481.31390380859375,0.0,1,1,0,0.013990632038620499
20180517,0.0,0.0,0.0,0,0,0,0.006891402890344178
20180518,-20510.748046875,124.23265075683594,-20634.98046875,5,2,3,0.016008346862602107
20180521,-238.98379516601562,-238.98379516601562,0.0,1,1,0,0.020127167673555046
20180522,0.0,0.0,0.0,0,0,0,0.011497278307953662
20180523,1384.799560546875,0.0,1384.799560546875,2,0,2,0.0223189335798456
20180524,9422.6015625,0.0,9422.6015625,1,0,1,0.019438873669120338
20180525,0.0,0.0,0.0,0,0,0,0.013400681264196579
20180528,-1557.3914794921875,-1557.3914794921875,0.0,1,1,0,0.015053788481122932
20180529,0.0,0.0,0.0,0,0,0,0.015686176062749135
20180530,-17331.62890625,-7795.783203125,-9535.8447265625,2,1,1,0.0169020121343888
20180531,-5276.6396484375,-2059.979248046875,-3216.66015625,17,10,7,0.03455792368569266
20180601,6851.0107421875,7927.17578125,-1076.1651611328125,3,2,1,0.021354798530131558
20180604,-14200.755859375,-14200.755859375,0.0,6,6,0,0.02205189054839196
20180605,-3111.383544921875,125.99539947509766,-3237.37890625,3,2,1,0.0203306008095141
20180606,0.0,0.0,0.0,0,0,0,0.01445385848294689
20180607,0.0,0.0,0.0,0,0,0,0.012230476038771254
20180608,0.0,0.0,0.0,0,0,0,0.01171477628873252
20180611,1396.91650390625,-293.43377685546875,1690.3502197265625,5,2,3,0.014034375669047638
20180612,0.0,0.0,0.0,0,0,0,0.012395160521158743
20180613,0.0,0.0,0.0,0,0,0,0.014460063793169886
20180614,0.0,0.0,0.0,0,0,0,0.013075613093244454
20180615,4864.2978515625,4864.2978515625,0.0,1,1,0,0.02336634113525171
20180619,12926.5673828125,-1899.8511962890625,14826.4189453125,5,4,1,0.016510181526124934
20180620,20470.1875,8542.6181640625,11927.568359375,21,13,8,0.033961752038387916
20180621,15728.30859375,10589.244140625,5139.06494140625,11,5,6,0.037720729301149
20180622,1147.94677734375,-1684.891357421875,2832.838134765625,10,8,2,0.022657502555576303
