TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20180104,-30145.998,-14892.487,-15253.511,101,56,45,0.02500759039703737
20180105,-21663.77,-12077.416,-9586.354,85,49,36,0.02154223076081163
20180108,-18526.516,-16192.557,-2333.959,78,44,34,0.026150087723994075
20180109,-29719.39,-21436.15,-8283.241,118,74,44,0.022732580569182592
20180110,-36405.6,-13633.0205,-22772.58,103,43,60,0.025073795759622985
20180111,-32688.215,-17280.826,-15407.39,97,48,49,0.029415441031401035
20180112,-50528.336,-21442.46,-29085.875,138,70,68,0.027535515856999093
20180115,-27475.957,-15828.191,-11647.765,145,100,45,0.02974366809767559
20180116,-40102.344,-34345.004,-5757.3384,107,65,42,0.02915603139989531
20180117,-12088.084,-2722.3726,-9365.711,52,36,16,0.011146976267111364
20180118,-16864.68,-8040.5938,-8824.086,71,46,25,0.02297725535130113
20180119,-24438.371,-18888.13,-5550.2407,82,60,22,0.028551164217482827
20180122,-59948.992,-37937.316,-22011.676,159,100,59,0.020666969239386712
20180123,-96584.04,-50424.453,-46159.586,282,173,109,0.036542168701278466
20180124,-119777.41,-82666.18,-37111.23,346,220,126,0.04031335114270396
20180125,-62237.53,-33207.62,-29029.908,253,151,102,0.03136151132546461
20180126,-76719.164,-37857.977,-38861.188,226,108,118,0.032380493082691086
20180129,-78697.82,-57124.715,-21573.104,276,184,92,0.02758437511935552
20180130,-38238.77,-26322.139,-11916.63,147,83,64,0.025557802947935304
20180131,-93964.97,-61062.527,-32902.438,310,184,126,0.0326300292978694
20180201,-88083.375,-45804.836,-42278.54,269,167,102,0.032077861017942855
20180202,-62356.93,-47187.73,-15169.197,278,185,93,0.026139280248619556
20180205,-135885.8,-85873.36,-50012.434,418,269,149,0.0447610525460026
20180206,-132097.52,-80276.38,-51821.133,437,256,181,0.03757629289985831
20180207,-218353.69,-135371.0,-82982.69,659,402,257,0.053171720410071344
20180208,-170975.38,-119236.51,-51738.86,557,328,229,0.044398630056581845
20180209,-228644.2,-149051.22,-79592.984,648,404,244,0.048765914003635724
20180212,-576127.0,-314576.47,-261550.56,1155,617,538,0.07251373526489702
20180213,-135869.28,-62086.664,-73782.62,367,201,166,0.023362512103056288
20180214,-97320.11,-64370.156,-32949.957,259,149,110,0.022642112740721476
20180222,-28442.47,-11674.211,-16768.26,121,70,51,0.019013090214873518
20180223,-36636.496,-29291.016,-7345.479,137,96,41,0.020604147489879376
20180226,-39371.496,-33047.152,-6324.343,189,119,70,0.02854430120436502
20180227,-80835.984,-51953.094,-28882.895,315,208,107,0.0390866049681694
20180228,-101396.17,-47937.082,-53459.09,373,207,166,0.028554150995550254
20180301,-126234.34,-65675.18,-60559.164,331,178,153,0.03836148517040616
20180302,-58422.266,-27705.365,-30716.902,208,126,82,0.021825450725477147
20180305,-109984.58,-68966.63,-41017.94,330,224,106,0.03245596619556812
20180306,-72797.95,-30808.049,-41989.906,258,118,140,0.02265211887448393
20180307,-50300.03,-26730.865,-23569.168,146,75,71,0.02150791589579437
20180308,-41294.4,-19928.13,-21366.266,174,97,77,0.02214286967103285
20180309,-78296.516,-46345.016,-31951.5,206,110,96,0.025787235996917457
20180312,-71170.8,-40743.668,-30427.13,160,100,60,0.0215782537935717
20180313,-34081.066,-24251.264,-9829.803,68,40,28,0.011323112523551226
20180314,2798.311,2041.6006,756.7103,29,13,16,0.00864865626261968
20180315,2556.6494,-1150.3237,3706.9731,44,31,13,0.015149426355940965
20180316,-15445.677,-7954.0317,-7491.645,48,25,23,0.020801557751936817
20180319,-10936.482,-7727.328,-3209.1538,22,18,4,0.012606890957014727
20180320,-101558.73,-53155.406,-48403.32,297,153,144,0.03520938431689191
20180321,-64528.695,-23555.562,-40973.133,157,71,86,0.017851171618447736
20180322,-49361.297,-37661.65,-11699.649,147,108,39,0.016436290152060162
20180323,-23399.97,-41393.96,17993.99,309,189,120,0.03029712284124697
20180326,-232752.7,-138540.12,-94212.58,696,390,306,0.0640591303605611
20180327,-202517.3,-108026.234,-94491.06,565,292,273,0.05057897770101616
20180328,-97650.21,-65409.85,-32240.36,327,199,128,0.028919502314467382
20180329,-147650.47,-87173.445,-60477.023,472,273,199,0.031980787220597606
20180330,-105203.875,-71332.07,-33871.8,289,174,115,0.02975482031247334
20180402,-57822.188,-30457.246,-27364.94,213,131,82,0.02177778498565186
20180403,-121184.25,-83179.47,-38004.777,412,255,157,0.0360324390648199
20180404,-94569.734,-59819.016,-34750.723,314,186,128,0.02844494419056065
20180409,-69153.56,-50947.367,-18206.191,252,173,79,0.026412847258775463
20180410,-146827.66,-98126.766,-48700.883,442,272,170,0.0354422758470172
20180411,-58043.215,-25844.826,-32198.389,163,92,71,0.021495827344916396
