TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20180104,-4752.679,-824.314,-3928.365,101,56,45,0.02500759039703737
20180105,-237.36227,260.822,-498.18427,85,49,36,0.02154223076081163
20180108,1201.7183,-5077.056,6278.7744,78,44,34,0.026150087723994075
20180109,288.94653,-2647.9192,2936.8657,118,74,44,0.022732580569182592
20180110,-10082.753,-2645.4504,-7437.3027,103,43,60,0.025073795759622985
20180111,-7857.267,-5004.548,-2852.7192,97,48,49,0.029415441031401035
20180112,-15088.682,-3467.3794,-11621.302,138,70,68,0.027535515856999093
20180115,9975.135,10015.129,-39.994125,145,100,45,0.02974366809767559
20180116,-12450.934,-17571.082,5120.149,107,65,42,0.02915603139989531
20180117,1414.4951,6634.994,-5220.499,52,36,16,0.011146976267111364
20180118,1626.7051,3947.9927,-2321.2876,71,46,25,0.02297725535130113
20180119,-2999.886,-3202.766,202.88013,82,60,22,0.028551164217482827
20180122,-18105.094,-11685.221,-6419.873,159,100,59,0.020666969239386712
20180123,-21397.904,-4333.422,-17064.482,282,173,109,0.036542168701278466
20180124,-27136.652,-23798.795,-3337.8577,346,220,126,0.04031335114270396
20180125,5274.6113,7062.925,-1788.3134,253,151,102,0.03136151132546461
20180126,-16219.012,-9021.606,-7197.4053,226,108,118,0.032380493082691086
20180129,-5250.625,-7919.119,2668.4941,276,184,92,0.02758437511935552
20180130,242.32129,-4527.9,4770.221,147,83,64,0.025557802947935304
20180131,-13370.237,-13270.429,-99.808395,310,184,126,0.0326300292978694
20180201,-18322.748,-2360.8384,-15961.91,269,167,102,0.032077861017942855
20180202,9533.269,543.74054,8989.528,278,185,93,0.026139280248619556
20180205,-27766.52,-16390.938,-11375.581,418,269,149,0.0447610525460026
20180206,-21196.53,-15047.44,-6149.0884,437,256,181,0.03757629289985831
20180207,-52781.125,-33492.47,-19288.654,659,402,257,0.053171720410071344
20180208,-34271.473,-38344.805,4073.3325,557,328,229,0.044398630056581845
20180209,-77876.7,-54491.51,-23385.188,648,404,244,0.048765914003635724
20180212,-304744.06,-170105.19,-134638.86,1155,617,538,0.07251373526489702
20180213,-47889.137,-13858.017,-34031.12,367,201,166,0.023362512103056288
20180214,-35313.344,-28801.29,-6512.0547,259,149,110,0.022642112740721476
20180222,1119.189,5395.62,-4276.431,121,70,51,0.019013090214873518
20180223,-2907.7976,-5644.423,2736.6252,137,96,41,0.020604147489879376
20180226,7624.834,-3546.376,11171.21,189,119,70,0.02854430120436502
20180227,-2687.749,-205.3509,-2482.3982,315,208,107,0.0390866049681694
20180228,-10121.338,2657.933,-12779.2705,373,207,166,0.028554150995550254
20180301,-45070.188,-22077.56,-22992.629,331,178,153,0.03836148517040616
20180302,-7598.87,3093.39,-10692.26,208,126,82,0.021825450725477147
20180305,-29534.82,-14304.06,-15230.761,330,224,106,0.03245596619556812
20180306,-9524.776,-1996.7972,-7527.979,258,118,140,0.02265211887448393
20180307,-14321.413,-8171.199,-6150.214,146,75,71,0.02150791589579437
20180308,1563.3994,3908.5972,-2345.1978,174,97,77,0.02214286967103285
20180309,-27027.41,-19028.564,-7998.8447,206,110,96,0.025787235996917457
20180312,-30962.258,-15609.542,-15352.717,160,100,60,0.0215782537935717
20180313,-17086.365,-14228.835,-2857.53,68,40,28,0.011323112523551226
20180314,9989.039,5265.9644,4723.074,29,13,16,0.00864865626261968
20180315,13503.657,6560.636,6943.021,44,31,13,0.015149426355940965
20180316,-3485.7031,-1716.4114,-1769.2917,48,25,23,0.020801557751936817
20180319,-5531.158,-3308.2593,-2222.8992,22,18,4,0.012606890957014727
20180320,-28495.2,-15608.591,-12886.607,297,153,144,0.03520938431689191
20180321,-25655.527,-5907.1553,-19748.371,157,71,86,0.017851171618447736
20180322,-13462.722,-11246.636,-2216.0862,147,108,39,0.016436290152060162
20180323,48908.95,3084.3962,45824.555,309,189,120,0.03029712284124697
20180326,-70311.42,-47552.305,-22759.117,696,390,306,0.0640591303605611
20180327,-68524.84,-38632.9,-29891.95,565,292,273,0.05057897770101616
20180328,-21080.434,-18608.041,-2472.3936,327,199,128,0.028919502314467382
20180329,-37556.41,-23872.324,-13684.085,472,273,199,0.031980787220597606
20180330,-36822.824,-30176.883,-6645.9414,289,174,115,0.02975482031247334
20180402,-7336.1533,672.01953,-8008.173,213,131,82,0.02177778498565186
20180403,-24720.574,-23468.178,-1252.3972,412,255,157,0.0360324390648199
20180404,-20616.48,-15914.474,-4702.008,314,186,128,0.02844494419056065
20180409,-10104.552,-10405.579,301.02747,252,173,79,0.026412847258775463
20180410,-42449.03,-34076.207,-8372.822,442,272,170,0.0354422758470172
20180411,-18981.475,-3807.7104,-15173.765,163,92,71,0.021495827344916396
20180412,-11430.364,-4762.1426,-6668.2217,162,85,77,0.02075185129601631
20180413,-11914.03,-4685.752,-7228.2783,165,83,82,0.019566427527961228
20180416,7687.645,6648.009,1039.6362,97,71,26,0.01513096796962865
20180417,8352.316,12542.025,-4189.7095,173,101,72,0.01604515916927063
20180418,17098.773,8585.922,8512.851,162,114,48,0.01674669439427301
20180419,-837.82275,-4298.8496,3461.0269,186,128,58,0.02713416739326513
20180420,-7015.527,-5252.808,-1762.7188,77,50,27,0.02287675699198677
20180423,15184.82,18551.518,-3366.6975,298,180,118,0.0351581195037689
20180424,-28456.527,-10524.638,-17931.89,413,245,168,0.03244698656653766
20180425,-28604.766,-9644.563,-18960.201,205,117,88,0.026396221039586276
20180426,-23248.352,-20762.912,-2485.4392,334,233,101,0.022889765535551332
20180427,-32475.148,-10280.204,-22194.945,287,181,106,0.02309162256753372
20180502,-22339.93,-14714.82,-7625.11,286,162,124,0.025727736172075133
20180503,3075.918,8711.436,-5635.5176,336,172,164,0.026453657827456345
20180504,-20872.666,-8220.395,-12652.271,272,147,125,0.023648072387482677
20180507,-35689.645,-28072.057,-7617.5884,248,178,70,0.01884015388515292
20180508,6124.711,-2144.0889,8268.8,91,64,27,0.013563550572079586
20180509,-19471.06,-17613.459,-1857.6018,75,44,31,0.012214877483450737
20180510,1910.7786,-1017.9851,2928.7637,63,35,28,0.011813290544485988
20180511,-16817.889,-12526.821,-4291.0674,133,83,50,0.01798903813917241
20180514,-31851.07,-24867.463,-6983.6074,97,69,28,0.013607231036001588
20180515,985.2921,-1391.4513,2376.7434,62,35,27,0.011732390446193453
20180516,7757.7188,1718.0194,6039.699,55,28,27,0.013990632038620499
20180517,2411.8423,968.06287,1443.7793,7,5,2,0.006891402890344178
20180518,-2050.852,-1151.607,-899.2449,143,48,95,0.016008346862602107
20180521,-14097.307,-12700.128,-1397.179,111,77,34,0.020127167673555046
20180522,-9193.008,-1448.9952,-7744.012,65,32,33,0.011497278307953662
20180523,-20022.184,-11875.4375,-8146.746,152,93,59,0.0223189335798456
20180524,-1832.6167,-672.08984,-1160.5269,127,69,58,0.019438873669120338
20180525,298.69434,-4062.2637,4360.958,82,49,33,0.013400681264196579
20180528,6689.5234,3144.0024,3545.5212,117,72,45,0.015053788481122932
20180529,3555.8218,3226.6416,329.18018,144,59,85,0.015686176062749135
20180530,14230.264,4258.504,9971.76,134,88,46,0.0169020121343888
20180531,7749.546,1671.4719,6078.0737,230,118,112,0.03455792368569266
20180601,24361.68,10907.54,13454.139,99,64,35,0.021354798530131558
20180604,-6304.478,-6856.504,552.026,165,105,60,0.02205189054839196
20180605,-15922.646,-5709.9824,-10212.664,158,74,84,0.0203306008095141
20180606,-7107.1455,-4766.8525,-2340.293,56,34,22,0.01445385848294689
20180607,17442.51,13447.252,3995.257,41,28,13,0.012230476038771254
20180608,4393.7114,9135.275,-4741.564,40,24,16,0.01171477628873252
20180611,-31399.816,-18028.607,-13371.21,97,60,37,0.014034375669047638
20180612,20808.148,15547.249,5260.899,36,21,15,0.012395160521158743
20180613,-3441.7039,-2744.349,-697.35474,33,26,7,0.014460063793169886
20180614,-9224.442,-14656.101,5431.658,41,32,9,0.013075613093244454
20180615,7571.3516,9153.939,-1582.588,135,69,66,0.02336634113525171
20180619,35242.777,-2917.53,38160.31,134,75,59,0.016510181526124934
20180620,-21950.207,-8482.246,-13467.96,400,184,216,0.033961752038387916
20180621,-38718.617,-25208.3,-13510.314,439,227,212,0.037720729301149
20180622,-10285.107,2047.4167,-12332.524,183,115,68,0.022657502555576303
20180625,-47324.46,-25612.338,-21712.125,389,206,183,0.031208495883452425
20180626,-6208.993,-5447.4062,-761.5867,346,233,113,0.02548682071133901
20180627,-49049.43,-33725.004,-15324.425,660,319,341,0.042913316954373726
20180628,-12068.789,-15566.612,3497.823,447,284,163,0.03836902206783788
20180629,-14891.898,-4665.1304,-10226.768,472,264,208,0.03574377988346389
