TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20180104,1501.7578,2640.6738,-1138.916,101,56,45,0.02500759039703737
20180105,5040.088,3299.8535,1740.2344,85,49,36,0.02154223076081163
20180108,6060.791,-2339.3555,8400.146,78,44,34,0.026150087723994075
20180109,7679.883,1979.5898,5700.293,118,74,44,0.022732580569182592
20180110,-3599.414,60.791016,-3660.205,103,43,60,0.025073795759622985
20180111,-1741.2598,-1980.7617,239.50195,97,48,49,0.029415441031401035
20180112,-6359.912,959.9121,-7319.824,138,70,68,0.027535515856999093
20180115,19199.56,16380.322,2819.2383,145,100,45,0.02974366809767559
20180116,-5640.5273,-13439.795,7799.2676,107,65,42,0.02915603139989531
20180117,4740.381,8939.941,-4199.5605,52,36,16,0.011146976267111364
20180118,6181.201,6900.879,-719.67773,71,46,25,0.02297725535130113
20180119,2280.4688,660.49805,1619.9707,82,60,22,0.028551164217482827
20180122,-7799.121,-5219.385,-2579.7363,159,100,59,0.020666969239386712
20180123,-2879.4434,7018.9453,-9898.389,282,173,109,0.036542168701278466
20180124,-4318.6523,-9299.268,4980.615,346,220,126,0.04031335114270396
20180125,21903.37,16981.934,4921.4355,253,151,102,0.03136151132546461
20180126,-1317.627,-1919.2383,601.6113,226,108,118,0.032380493082691086
20180129,12840.527,4201.0254,8639.502,276,184,92,0.02758437511935552
20180130,9720.703,840.2344,8880.469,147,83,64,0.025557802947935304
20180131,6480.4688,-1499.2676,7979.7363,310,184,126,0.0326300292978694
20180201,-1139.9414,8340.088,-9480.029,269,167,102,0.032077861017942855
20180202,27239.795,12300.0,14939.795,278,185,93,0.026139280248619556
20180205,-1136.5723,722.7539,-1859.3262,418,269,149,0.0447610525460026
20180206,6119.5312,1019.0918,5100.4395,437,256,181,0.03757629289985831
20180207,-11998.246,-8398.389,-3599.8574,659,402,257,0.053171720410071344
20180208,-600.58203,-18420.781,17820.2,557,328,229,0.044398630056581845
20180209,-40740.812,-31200.068,-9540.745,648,404,244,0.048765914003635724
20180212,-237901.27,-134521.6,-103379.67,1155,617,538,0.07251373526489702
20180213,-26219.32,-1979.4434,-24239.877,367,201,166,0.023362512103056288
20180214,-20040.895,-20040.38,-0.5126953,259,149,110,0.022642112740721476
20180222,8400.22,9599.927,-1199.707,121,70,51,0.019013090214873518
20180223,5399.634,179.88281,5219.751,137,96,41,0.020604147489879376
20180226,19200.074,3719.8242,15480.25,189,119,70,0.02854430120436502
20180227,16561.156,12540.82,4020.337,315,208,107,0.0390866049681694
20180228,12360.214,15119.833,-2759.6191,373,207,166,0.028554150995550254
20180301,-25079.443,-11339.795,-13739.648,331,178,153,0.03836148517040616
20180302,4919.165,10679.224,-5760.0586,208,126,82,0.021825450725477147
20180305,-9719.238,-840.01465,-8879.224,330,224,106,0.03245596619556812
20180306,6059.546,5099.707,959.83887,258,118,140,0.02265211887448393
20180307,-5459.326,-3599.8535,-1859.4727,146,75,71,0.02150791589579437
20180308,12119.238,9779.59,2339.6484,174,97,77,0.02214286967103285
20180309,-14399.707,-12300.366,-2099.3408,206,110,96,0.025787235996917457
20180312,-21058.594,-9418.799,-11639.795,160,100,60,0.0215782537935717
20180313,-12900.146,-11760.205,-1139.9414,68,40,28,0.011323112523551226
20180314,11760.205,6060.132,5700.073,29,13,16,0.00864865626261968
20180315,16199.634,8459.619,7740.0146,44,31,13,0.015149426355940965
20180316,-539.7949,-180.0293,-359.76562,48,25,23,0.020801557751936817
20180319,-4200.073,-2220.044,-1980.0293,22,18,4,0.012606890957014727
20180320,-10499.414,-6360.5713,-4138.843,297,153,144,0.03520938431689191
20180321,-16080.3955,-1560.2783,-14520.117,157,71,86,0.017851171618447736
20180322,-4620.1904,-4740.0146,119.82422,147,108,39,0.016436290152060162
20180323,66719.375,14039.793,52679.58,309,189,120,0.03029712284124697
20180326,-30301.453,-25141.469,-5159.9854,696,390,306,0.0640591303605611
20180327,-35521.727,-21540.89,-13980.835,565,292,273,0.05057897770101616
