TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20180104,-9280.8447265625,-3193.429931640625,-6087.4150390625,3,1,2,0.05986123108374641
20180105,-6668.41455078125,-401.3013916015625,-6267.11328125,9,3,6,0.06879236999535154
20180108,-14702.84765625,-3675.15380859375,-11027.6943359375,4,1,3,0.07718642742086124
20180109,-6164.47998046875,-11429.9501953125,5265.47021484375,13,9,4,0.07102332258597399
20180110,5096.228515625,2445.572509765625,2650.65576171875,10,4,6,0.07742015396040769
20180111,-1177.7166748046875,641.34765625,-1819.0643310546875,2,1,1,0.0693524335581076
20180112,-881.315185546875,242.1904296875,-1123.505615234375,11,3,8,0.07787009363418784
20180115,7050.3017578125,-1904.563232421875,8954.865234375,15,10,5,0.0810908300583727
20180116,-2826.212890625,-2826.212890625,0.0,3,3,0,0.05098243893838239
20180117,-10039.6640625,-16067.9091796875,6028.2451171875,11,7,4,0.05104404383783456
20180118,-13784.4423828125,-9715.8408203125,-4068.6015625,9,7,2,0.05099096552884552
20180119,5452.95068359375,-117.9822998046875,5570.93310546875,12,7,5,0.05722260944005764
20180122,0.0,0.0,0.0,0,0,0,0.009789717102455131
20180123,7441.9794921875,2844.0322265625,4597.947265625,26,18,8,0.0712651937837927
20180124,-5302.8740234375,-4362.63623046875,-940.23779296875,38,28,10,0.07819757762574553
20180125,-2609.466064453125,-3632.683349609375,1023.21728515625,38,27,11,0.06960851309922766
20180126,-2804.689453125,-13783.59765625,10978.908203125,30,16,14,0.062219668250620974
20180129,166.2266082763672,56.07666015625,110.14994812011719,33,20,13,0.06509733080757474
20180130,-6671.2880859375,1996.8468017578125,-8668.134765625,12,6,6,0.04650625576310308
20180131,2203.6748046875,-3668.8515625,5872.5263671875,33,18,15,0.06349714990878652
20180201,-3172.3232421875,-13677.517578125,10505.1943359375,33,22,11,0.06502703083514416
20180202,7068.8466796875,-388.15582275390625,7457.00244140625,39,27,12,0.04233069825415714
20180205,-9844.64453125,-5599.4951171875,-4245.14892578125,30,23,7,0.05331881334638533
20180206,341.9013671875,-11348.9951171875,11690.896484375,73,48,25,0.06558899470715818
20180207,59738.8125,28352.619140625,31386.193359375,82,46,36,0.05125462518249779
20180208,-44153.54296875,-30453.671875,-13699.8701171875,85,46,39,0.039655035122351134
20180209,90015.09375,64023.93359375,25991.158203125,136,85,51,0.057316888202402105
20180212,-34853.1875,-14338.771484375,-20514.416015625,198,96,102,0.036020633033417626
20180213,-16772.6015625,-4403.26171875,-12369.3408203125,56,27,29,0.03736655491333074
20180214,-611.2212524414062,-385.751708984375,-225.46954345703125,47,15,32,0.034657983991287944
20180222,-7525.4365234375,-13378.353515625,5852.9169921875,19,14,5,0.04646719957841672
20180223,3079.00244140625,-966.1976318359375,4045.2001953125,23,18,5,0.04039567838224489
20180226,-3121.483154296875,1207.103759765625,-4328.5869140625,12,6,6,0.0704335721447108
20180227,-27695.658203125,-12448.3876953125,-15247.2705078125,30,21,9,0.06971393809551851
20180228,11481.35546875,13714.67578125,-2233.32080078125,60,35,25,0.06648061211487355
20180301,-16945.9765625,-18240.93359375,1294.95703125,47,23,24,0.06368016129515552
20180302,-5181.6123046875,956.33642578125,-6137.94873046875,31,13,18,0.06124086765834591
20180305,-3874.53662109375,3869.17333984375,-7743.7099609375,56,36,20,0.07154234870669274
20180306,-4291.81298828125,-9428.1865234375,5136.37353515625,35,16,19,0.0524448011712052
20180307,-523.2073364257812,-187.5198974609375,-335.68743896484375,15,8,7,0.059935752497271566
20180308,8216.486328125,13623.2685546875,-5406.78271484375,34,18,16,0.06529484819714049
20180309,-16442.44921875,-4124.1328125,-12318.3154296875,29,11,18,0.07084337176560507
20180312,2348.6083984375,1561.6201171875,786.98828125,22,18,4,0.06303958209538851
20180313,912.5816040039062,1631.6866455078125,-719.1050415039062,10,4,6,0.051493873026778214
20180314,-10751.9873046875,-5537.5830078125,-5214.404296875,8,2,6,0.05126637869411843
20180315,-840.204833984375,1711.340576171875,-2551.54541015625,6,3,3,0.05397535943814036
20180316,-640.51513671875,-250.88449096679688,-389.630615234375,4,1,3,0.04806981289404433
20180319,0.0,0.0,0.0,0,0,0,0.04175545398788616
20180320,-11634.29296875,-9222.1142578125,-2412.17919921875,37,27,10,0.06947700620450314
20180321,-1083.543701171875,2470.090087890625,-3553.6337890625,15,5,10,0.05966325391249905
20180322,12768.607421875,8356.2265625,4412.38134765625,29,20,9,0.05858489292319846
20180323,22823.515625,9603.171875,13220.3427734375,50,27,23,0.05508573064247957
20180326,10748.1181640625,11203.2509765625,-455.13250732421875,80,36,44,0.04209460261344489
20180327,-22851.4609375,-19039.955078125,-3811.5048828125,73,43,30,0.05270818863922644
20180328,-13503.75,-11020.0673828125,-2483.68212890625,58,37,21,0.05949668637744754
20180329,-2567.91015625,-12007.521484375,9439.611328125,64,43,21,0.05988973910144302
20180330,2759.064453125,-367.0468444824219,3126.111328125,36,22,14,0.06350635742655708
20180402,2435.944580078125,963.6796875,1472.264892578125,34,18,16,0.05292191178849581
20180403,-24261.083984375,-12073.2392578125,-12187.8447265625,43,29,14,0.05326012556190973
20180404,-30096.67578125,-18230.5390625,-11866.1376953125,40,23,17,0.05753440219945405
20180409,18280.61328125,15311.76171875,2968.8505859375,27,16,11,0.06606235203685984
20180410,-7471.66259765625,-12124.3486328125,4652.68603515625,58,35,23,0.06604127797038095
20180411,-8675.884765625,-10840.15234375,2164.26708984375,17,14,3,0.06322828196449515
20180412,224.16204833984375,-276.9114990234375,501.07354736328125,15,10,5,0.06747206891908408
20180413,10936.140625,801.3878173828125,10134.7529296875,16,7,9,0.06262006570524414
20180416,5303.2080078125,157.697265625,5145.5107421875,20,11,9,0.05629506823674102
20180417,-170.478515625,-6896.5654296875,6726.0869140625,24,11,13,0.04400199191717724
20180418,14183.5546875,20282.046875,-6098.49267578125,45,23,22,0.0436666719510711
20180419,-11452.345703125,-3938.273193359375,-7514.072265625,28,18,10,0.04846324408689007
20180420,10018.046875,7844.72314453125,2173.32421875,9,4,5,0.04639331218649634
20180423,10294.044921875,4830.05322265625,5463.9912109375,6,2,4,0.0298102595365054
20180424,-17990.228515625,-4408.5732421875,-13581.6552734375,58,41,17,0.06174297942643836
20180425,-6007.609375,-4518.6943359375,-1488.9150390625,23,16,7,0.06626926966181468
20180426,-28197.7578125,-20625.1328125,-7572.625,62,37,25,0.07635623938138514
20180427,-8390.8779296875,877.6865234375,-9268.564453125,60,32,28,0.05526170491804705
20180502,13297.072265625,12251.568359375,1045.50341796875,30,17,13,0.05415133135246719
20180503,343.8671875,-9169.8046875,9513.671875,64,38,26,0.0591535226140526
20180504,-13644.4765625,-7853.876953125,-5790.60009765625,47,19,28,0.06502759552299431
20180507,3101.8271484375,10017.9443359375,-6916.1171875,31,20,11,0.06559234468198383
20180508,-7607.50927734375,-632.4442138671875,-6975.06494140625,12,4,8,0.053589443369865486
20180509,-12653.529296875,-5853.4462890625,-6800.0830078125,10,4,6,0.057404912726656376
20180510,7231.7255859375,-2569.552734375,9801.2783203125,6,2,4,0.06192437609025869
20180511,-14672.205078125,-4810.9833984375,-9861.2216796875,18,11,7,0.06528837981775248
20180514,2441.037109375,-807.8577880859375,3248.894775390625,13,10,3,0.06041800729546254
20180515,-17781.49609375,-13536.3115234375,-4245.18359375,11,7,4,0.06257868654915899
20180516,-15260.5234375,-2436.779296875,-12823.744140625,11,7,4,0.06904606890925835
20180517,0.0,0.0,0.0,0,0,0,0.05599312093187925
20180518,-8339.96484375,-4610.99267578125,-3728.97265625,30,9,21,0.05733164829595516
20180521,-5443.97216796875,-1075.17333984375,-4368.798828125,7,3,4,0.0629062794395503
20180522,-923.052734375,4864.97998046875,-5788.03271484375,7,1,6,0.06649548150702933
20180523,-4076.53662109375,-1408.248046875,-2668.28857421875,9,5,4,0.07021974402520326
20180524,-11675.0595703125,-2905.3916015625,-8769.66796875,9,4,5,0.06311306409351614
20180525,-3964.266845703125,-3606.626708984375,-357.64007568359375,15,5,10,0.0606116051359572
20180528,-8511.12890625,-6724.70458984375,-1786.4246826171875,12,5,7,0.06252762149424007
20180529,-33487.8515625,-10898.900390625,-22588.94921875,14,2,12,0.0637270916623438
20180530,1116.5758056640625,-33.7730712890625,1150.348876953125,16,12,4,0.050118783905401254
20180531,-9313.3798828125,-7227.27783203125,-2086.10205078125,30,20,10,0.06346559535851937
20180601,-5816.0693359375,-571.548095703125,-5244.521484375,12,6,6,0.06759882485321445
20180604,-4618.7763671875,-411.929443359375,-4206.8466796875,19,10,9,0.062080128134969326
20180605,957.9022216796875,-791.105224609375,1749.0074462890625,22,9,13,0.0679234529291084
20180606,-1087.6397705078125,-1727.97607421875,640.3363037109375,11,7,4,0.06146938168352678
20180607,-8647.46484375,-6677.3662109375,-1970.0982666015625,6,5,1,0.07171279338632608
20180608,-2064.611328125,-1404.29345703125,-660.31787109375,11,3,8,0.060738535682943406
20180611,1208.0390625,732.7766723632812,475.2623291015625,9,5,4,0.0587212490030925
20180612,985.4348754882812,985.4348754882812,0.0,2,2,0,0.06022544653259998
20180613,0.0,0.0,0.0,0,0,0,0.060109005749316435
20180614,-16755.060546875,-4556.873046875,-12198.1875,8,5,3,0.05465874123211323
20180615,-4289.044921875,9902.8681640625,-14191.9130859375,16,11,5,0.0545366870538424
20180619,17448.328125,2103.899658203125,15344.427734375,23,11,12,0.048515895859914226
20180620,9435.01171875,5636.55712890625,3798.455078125,59,29,30,0.04859706300859923
20180621,-18206.1015625,-12832.5947265625,-5373.5068359375,47,26,21,0.07377951946832173
20180622,-13298.81640625,-303.47314453125,-12995.3427734375,32,23,9,0.0554610220795273
20180625,-3806.051513671875,1354.143310546875,-5160.19482421875,37,22,15,0.05261116665865739
20180626,18547.298828125,6753.44140625,11793.857421875,51,33,18,0.0617822316584008
20180627,15646.736328125,2413.53369140625,13233.203125,91,43,48,0.06391454256737794
20180628,4852.6533203125,6823.5595703125,-1970.90625,64,38,26,0.06325708594816637
20180629,4699.78076171875,-5388.57177734375,10088.3525390625,89,51,38,0.06599224501254353
