TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20180104,-8340.087890625,-2880.029296875,-5460.05859375,3,1,2,0.05986123108374641
20180105,-3840.087890625,539.94140625,-4380.029296875,9,3,6,0.06879236999535154
20180108,-13439.94140625,-3359.912109375,-10080.029296875,4,1,3,0.07718642742086124
20180109,-2040.673828125,-8580.615234375,6539.94140625,13,9,4,0.07102332258597399
20180110,8279.58984375,3719.970703125,4559.619140625,10,4,6,0.07742015396040769
20180111,-539.94140625,960.05859375,-1500.0,2,1,1,0.0693524335581076
20180112,2639.794921875,1200.146484375,1439.6484375,11,3,8,0.07787009363418784
20180115,11879.58984375,1319.677734375,10559.912109375,15,10,5,0.0810908300583727
20180116,-1860.05859375,-1860.05859375,0.0,3,3,0,0.05098243893838239
20180117,-6480.322265625,-13799.853515625,7319.53125,11,7,4,0.05104404383783456
20180118,-10860.3515625,-7440.234375,-3420.1171875,9,7,2,0.05099096552884552
20180119,9359.765625,2159.619140625,7200.146484375,12,7,5,0.05722260944005764
20180122,0.0,0.0,0.0,0,0,0,0.009789717102455131
20180123,16079.58984375,8819.82421875,7259.765625,26,18,8,0.0712651937837927
20180124,7379.736328125,4979.443359375,2400.29296875,38,28,10,0.07819757762574553
20180125,10019.970703125,5340.380859375,4679.58984375,38,27,11,0.06960851309922766
20180126,7200.732421875,-8459.765625,15660.498046875,30,16,14,0.062219668250620974
20180129,11100.0,6719.970703125,4380.029296875,33,20,13,0.06509733080757474
20180130,-2760.05859375,3959.912109375,-6719.970703125,12,6,6,0.04650625576310308
20180131,12900.146484375,2160.205078125,10739.94140625,33,18,15,0.06349714990878652
20180201,7500.0,-6540.087890625,14040.087890625,33,22,11,0.06502703083514416
20180202,19620.556640625,8280.46875,11340.087890625,39,27,12,0.04233069825415714
20180205,-180.322265625,1799.853515625,-1980.17578125,30,23,7,0.05331881334638533
20180206,23459.326171875,3900.0,19559.326171875,73,48,25,0.06558899470715818
20180207,85380.171875,42900.44140625,42479.734375,82,46,36,0.05125462518249779
20180208,-18180.3203125,-16320.04296875,-1860.2783203125,85,46,39,0.039655035122351134
20180209,129419.9140625,88800.015625,40619.8984375,136,85,51,0.057316888202402105
20180212,23160.86328125,13680.17578125,9480.6884765625,198,96,102,0.036020633033417626
20180213,-59.9853515625,3659.8388671875,-3719.82421875,56,27,29,0.03736655491333074
20180214,13440.234375,4079.8095703125,9360.4248046875,47,15,32,0.034657983991287944
20180222,-1739.8681640625,-9119.82421875,7379.9560546875,19,14,5,0.04646719957841672
20180223,10140.0146484375,4559.9853515625,5580.029296875,23,18,5,0.04039567838224489
20180226,599.6337890625,3059.9853515625,-2460.3515625,12,6,6,0.0704335721447108
20180227,-18419.970703125,-5940.0146484375,-12479.9560546875,30,21,9,0.06971393809551851
20180228,29759.83984375,24359.83984375,5400.0,60,35,25,0.06648061211487355
20180301,-2580.029296875,-11219.970703125,8639.94140625,47,23,24,0.06368016129515552
20180302,4259.912109375,4919.82421875,-659.912109375,31,13,18,0.06124086765834591
20180305,13140.1611328125,14820.1904296875,-1680.029296875,56,36,20,0.07154234870669274
20180306,6420.1171875,-4560.05859375,10980.17578125,35,16,19,0.0524448011712052
20180307,4080.029296875,2280.029296875,1800.0,15,8,7,0.059935752497271566
20180308,18660.130859375,19140.16015625,-480.029296875,34,18,16,0.06529484819714049
20180309,-7440.0146484375,-719.970703125,-6720.0439453125,29,11,18,0.07084337176560507
20180312,9240.087890625,7200.146484375,2039.94140625,22,18,4,0.06303958209538851
