TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20180104,-4845.813,-872.77716,-3973.0356,86,49,37,0.05986123108374641
20180105,528.45184,827.42737,-298.97552,91,36,55,0.06879236999535154
20180108,4503.405,4653.3696,-149.96484,75,38,37,0.07718642742086124
20180109,13952.15,7100.4243,6851.7256,167,86,81,0.07102332258597399
20180110,8191.62,457.01385,7734.6064,91,49,42,0.07742015396040769
20180111,-7943.1,-6180.4233,-1762.6768,86,40,46,0.0693524335581076
20180112,179.3186,4039.878,-3860.5593,110,49,61,0.07787009363418784
20180115,-6206.198,1970.7253,-8176.9233,156,84,72,0.0810908300583727
20180116,3993.415,-1748.7695,5742.1846,89,53,36,0.05098243893838239
20180117,7659.3286,9547.606,-1888.278,141,102,39,0.05104404383783456
20180118,-3969.7087,-284.9087,-3684.8,117,67,50,0.05099096552884552
20180119,-3433.2715,-7485.574,4052.3027,98,51,47,0.05722260944005764
20180122,-12229.69,-14568.313,2338.6228,48,36,12,0.009789717102455131
20180123,16704.082,7497.78,9206.303,133,75,58,0.0712651937837927
20180124,6763.3022,9765.852,-3002.5493,194,104,90,0.07819757762574553
20180125,15261.695,12352.345,2909.35,217,118,99,0.06960851309922766
20180126,4218.11,-353.67377,4571.7837,159,72,87,0.062219668250620974
20180129,-4021.6318,166.4126,-4188.0444,253,146,107,0.06509733080757474
20180130,9857.073,9315.46,541.6137,132,61,71,0.04650625576310308
20180131,31672.291,22399.174,9273.117,195,116,79,0.06349714990878652
20180201,2154.338,7606.1016,-5451.7637,220,121,99,0.06502703083514416
20180202,18921.793,3873.8662,15047.926,236,143,93,0.04233069825415714
20180205,10903.977,13329.919,-2425.9421,214,130,84,0.05331881334638533
20180206,66559.56,58510.78,8048.779,282,149,133,0.06558899470715818
20180207,76972.086,19368.28,57603.805,352,228,124,0.05125462518249779
20180208,40337.344,18679.377,21657.967,290,142,148,0.039655035122351134
20180209,158191.64,102575.414,55616.23,359,213,146,0.057316888202402105
20180212,49005.8,31152.912,17852.889,503,263,240,0.036020633033417626
20180213,18025.98,13843.673,4182.308,216,117,99,0.03736655491333074
20180214,-11166.387,-10740.402,-425.98465,237,99,138,0.034657983991287944
20180222,18681.324,20272.686,-1591.3608,182,92,90,0.04646719957841672
20180223,-12275.078,-177.4029,-12097.675,155,87,68,0.04039567838224489
20180226,21381.195,8657.923,12723.271,175,99,76,0.0704335721447108
20180227,19063.021,13663.789,5399.232,235,156,79,0.06971393809551851
20180228,29266.047,29370.758,-104.71127,282,148,134,0.06648061211487355
20180301,2243.4575,-2196.7417,4440.199,252,121,131,0.06368016129515552
20180302,2660.0195,-145.16516,2805.1846,222,128,94,0.06124086765834591
20180305,32090.484,21041.885,11048.599,278,170,108,0.07154234870669274
20180306,17850.854,10546.654,7304.1987,237,118,119,0.0524448011712052
20180307,6144.139,-1009.0625,7153.2017,220,113,107,0.059935752497271566
20180308,1520.9419,2630.4976,-1109.5557,228,120,108,0.06529484819714049
20180309,4323.2905,4486.557,-163.26672,227,115,112,0.07084337176560507
20180312,3534.6377,11888.549,-8353.911,193,122,71,0.06303958209538851
20180313,4742.2607,5870.587,-1128.3262,152,75,77,0.051493873026778214
20180314,-9904.92,-6955.6016,-2949.3188,118,52,66,0.05126637869411843
20180315,-11911.149,-9646.346,-2264.804,119,84,35,0.05397535943814036
20180316,-5507.3086,-5888.6445,381.33606,76,46,30,0.04806981289404433
20180319,-2840.0413,-2709.065,-130.97626,31,16,15,0.04175545398788616
20180320,9907.329,10519.267,-611.93774,187,90,97,0.06947700620450314
20180321,15275.971,5322.728,9953.242,151,63,88,0.05966325391249905
20180322,20024.615,8375.449,11649.166,235,146,89,0.05858489292319846
20180323,95637.25,40865.656,54771.594,263,121,142,0.05508573064247957
20180326,28014.34,20401.184,7613.157,361,188,173,0.04209460261344489
20180327,7271.533,5629.7085,1641.825,310,157,153,0.05270818863922644
20180328,-6719.3086,-21242.92,14523.611,280,169,111,0.05949668637744754
20180329,21285.941,19662.568,1623.3729,352,181,171,0.05988973910144302
20180330,12115.319,10437.422,1677.8975,242,136,106,0.06350635742655708
20180402,2239.6992,6103.5366,-3863.8374,202,118,84,0.05292191178849581
20180403,19548.375,11199.872,8348.504,253,146,107,0.05326012556190973
20180404,-1253.6255,6819.7866,-8073.412,240,117,123,0.05753440219945405
20180409,11994.674,16351.657,-4356.9834,206,119,87,0.06606235203685984
20180410,17218.432,5236.93,11981.501,302,160,142,0.06604127797038095
20180411,-9410.305,-7385.7676,-2024.5367,196,115,81,0.06322828196449515
20180412,7022.296,-1142.5896,8164.8857,186,101,85,0.06747206891908408
20180413,13362.144,-9676.124,23038.268,169,74,95,0.06262006570524414
20180416,1483.6332,-1379.7152,2863.3484,212,99,113,0.05629506823674102
20180417,-2494.5908,-6887.415,4392.824,213,125,88,0.04400199191717724
20180418,18288.81,6593.697,11695.114,320,188,132,0.0436666719510711
20180419,-2821.274,-7230.7153,4409.4414,208,112,96,0.04846324408689007
20180420,1091.064,5263.943,-4172.879,96,55,41,0.04639331218649634
20180423,32756.43,24969.695,7786.7354,124,67,57,0.0298102595365054
20180424,7709.708,9905.942,-2196.2344,324,173,151,0.06174297942643836
20180425,-1577.8838,-463.8569,-1114.0269,214,117,97,0.06626926966181468
20180426,17352.709,24470.277,-7117.569,255,141,114,0.07635623938138514
20180427,9854.132,117.350586,9736.781,327,185,142,0.05526170491804705
20180502,18047.023,17979.102,67.92166,240,128,112,0.05415133135246719
20180503,22996.004,17594.994,5401.0103,288,142,146,0.0591535226140526
20180504,-3532.1526,1207.2849,-4739.4375,253,113,140,0.06502759552299431
20180507,-17621.848,-7955.245,-9666.604,277,164,113,0.06559234468198383
