TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20180104,-9280.8447265625,-3193.429931640625,-6087.4150390625,3,1,2,0.05986123108374641
20180105,-9159.685546875,-401.3013916015625,-8758.3837890625,7,3,4,0.06879236999535154
20180108,-3675.15380859375,-3675.15380859375,0.0,1,1,0,0.07718642742086124
20180109,3853.21484375,909.0950927734375,2944.11962890625,6,3,3,0.07102332258597399
20180110,2307.6552734375,-1818.5936279296875,4126.2490234375,5,1,4,0.07742015396040769
20180111,-2918.12890625,-1099.0645751953125,-1819.0643310546875,2,1,1,0.0693524335581076
20180112,120.65982055664062,242.1904296875,-121.53060913085938,9,3,6,0.07787009363418784
20180115,10018.4921875,4200.6640625,5817.828125,11,8,3,0.0810908300583727
20180116,-2766.314453125,-2766.314453125,0.0,3,3,0,0.05098243893838239
20180117,-11647.8359375,-13499.5283203125,1851.6922607421875,8,5,3,0.05104404383783456
20180118,-12200.26171875,-9715.8408203125,-2484.4208984375,8,7,1,0.05099096552884552
20180119,521.78759765625,-5049.1455078125,5570.93310546875,10,5,5,0.05722260944005764
20180122,0.0,0.0,0.0,0,0,0,0.009789717102455131
20180123,-785.1895751953125,-713.1064453125,-72.0831298828125,15,11,4,0.0712651937837927
20180124,-2575.209228515625,-3922.01513671875,1346.805908203125,30,22,8,0.07819757762574553
20180125,9955.8359375,7907.93408203125,2047.902099609375,28,19,9,0.06960851309922766
20180126,-1482.67822265625,-5253.677734375,3770.99951171875,21,12,9,0.062219668250620974
20180129,-23274.98828125,1812.599853515625,-25087.587890625,25,14,11,0.06509733080757474
20180130,-15070.2255859375,-6402.0908203125,-8668.134765625,12,6,6,0.04650625576310308
20180131,6621.43896484375,-3068.92724609375,9690.3662109375,29,18,11,0.06349714990878652
20180201,5782.083984375,-5965.3310546875,11747.4150390625,25,16,9,0.06502703083514416
20180202,11450.2197265625,2623.7705078125,8826.44921875,25,15,10,0.04233069825415714
20180205,-7477.615234375,-3232.46630859375,-4245.14892578125,26,19,7,0.05331881334638533
20180206,-167.751953125,-3968.5380859375,3800.7861328125,61,38,23,0.06558899470715818
20180207,52950.203125,26553.990234375,26396.212890625,68,38,30,0.05125462518249779
20180208,-34330.453125,-18123.9609375,-16206.4921875,77,42,35,0.039655035122351134
20180209,56602.64453125,51762.67578125,4839.97021484375,120,71,49,0.057316888202402105
20180212,-43591.359375,-15861.392578125,-27729.96484375,186,86,100,0.036020633033417626
20180213,-6829.1923828125,-3208.534912109375,-3620.6572265625,44,23,21,0.03736655491333074
20180214,-376.623779296875,-1831.588134765625,1454.96435546875,41,13,28,0.034657983991287944
20180222,-6367.53125,-9580.8408203125,3213.3095703125,15,10,5,0.04646719957841672
20180223,119.30438232421875,-445.4261474609375,564.7305297851562,17,12,5,0.04039567838224489
20180226,3379.817626953125,1207.103759765625,2172.7138671875,10,6,4,0.0704335721447108
20180227,-12043.10546875,-2090.305419921875,-9952.7998046875,24,17,7,0.06971393809551851
20180228,10107.697265625,6545.9912109375,3561.705810546875,46,27,19,0.06648061211487355
20180301,-16462.6484375,-16005.158203125,-457.48974609375,36,20,16,0.06368016129515552
