TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20180104,-8340.087890625,-2880.029296875,-5460.05859375,3,1,2,0.05986123108374641
20180105,-6960.205078125,539.94140625,-7500.146484375,7,3,4,0.06879236999535154
20180108,-3359.912109375,-3359.912109375,0.0,1,1,0,0.07718642742086124
20180109,5759.912109375,1859.912109375,3900.0,6,3,3,0.07102332258597399
20180110,3899.853515625,-1500.0,5399.853515625,5,1,4,0.07742015396040769
20180111,-2280.029296875,-780.029296875,-1500.0,2,1,1,0.0693524335581076
20180112,2999.853515625,1200.146484375,1799.70703125,9,3,6,0.07787009363418784
20180115,13559.47265625,6779.736328125,6779.736328125,11,8,3,0.0810908300583727
20180116,-1800.146484375,-1800.146484375,0.0,3,3,0,0.05098243893838239
20180117,-9060.205078125,-11880.029296875,2819.82421875,8,5,3,0.05104404383783456
20180118,-9600.29296875,-7440.234375,-2160.05859375,8,7,1,0.05099096552884552
20180119,3779.736328125,-3420.41015625,7200.146484375,10,5,5,0.05722260944005764
20180122,0.0,0.0,0.0,0,0,0,0.009789717102455131
20180123,4199.560546875,2939.501953125,1260.05859375,15,11,4,0.0712651937837927
20180124,7439.501953125,3419.384765625,4020.1171875,30,22,8,0.07819757762574553
20180125,19260.05859375,14220.41015625,5039.6484375,28,19,9,0.06960851309922766
20180126,5520.41015625,-1259.765625,6780.17578125,21,12,9,0.062219668250620974
20180129,-15000.439453125,6479.443359375,-21479.8828125,25,14,11,0.06509733080757474
20180130,-11160.05859375,-4440.087890625,-6719.970703125,12,6,6,0.04650625576310308
20180131,16020.263671875,2760.205078125,13260.05859375,29,18,11,0.06349714990878652
20180201,13859.765625,-780.322265625,14640.087890625,25,16,9,0.06502703083514416
20180202,19499.853515625,7440.234375,12059.619140625,25,15,10,0.04233069825415714
20180205,899.853515625,2880.029296875,-1980.17578125,26,19,7,0.05331881334638533
20180206,19139.794921875,8100.29296875,11039.501953125,61,38,23,0.06558899470715818
20180207,74220.109375,38580.02734375,35640.0859375,68,38,30,0.05125462518249779
20180208,-10800.146484375,-5220.0439453125,-5580.1025390625,77,42,35,0.039655035122351134
20180209,91380.03125,72480.03125,18900.0,120,71,49,0.057316888202402105
20180212,10920.6298828125,9239.94140625,1680.6884765625,186,86,100,0.036020633033417626
20180213,6299.9267578125,3659.8388671875,2640.087890625,44,23,21,0.03736655491333074
20180214,11880.17578125,2039.7216796875,9840.4541015625,41,13,28,0.034657983991287944
20180222,-1799.9267578125,-6539.94140625,4740.0146484375,15,10,5,0.04646719957841672
20180223,5340.0146484375,3240.0146484375,2100.0,17,12,5,0.04039567838224489
20180226,6479.6630859375,3059.9853515625,3419.677734375,10,6,4,0.0704335721447108
20180227,-4619.970703125,3179.9560546875,-7799.9267578125,24,17,7,0.06971393809551851
20180228,24120.19140625,14759.9853515625,9360.205078125,46,27,19,0.06648061211487355
20180301,-5460.205078125,-9900.0,4439.794921875,36,20,16,0.06368016129515552
20180302,1859.912109375,5159.912109375,-3300.0,27,13,14,0.06124086765834591
20180305,2219.8974609375,3899.9267578125,-1680.029296875,50,30,20,0.07154234870669274
20180306,10620.1171875,-600.0,11220.1171875,35,16,19,0.0524448011712052
20180307,9659.9853515625,9420.0439453125,239.94140625,8,3,5,0.059935752497271566
20180308,16380.248046875,20700.21875,-4319.970703125,30,14,16,0.06529484819714049
20180309,-9479.9560546875,-11999.853515625,2519.8974609375,23,9,14,0.07084337176560507
20180312,9840.087890625,7200.146484375,2639.94140625,20,16,4,0.06303958209538851
20180313,7259.9853515625,839.94140625,6420.0439453125,6,2,4,0.051493873026778214
20180314,-5699.9267578125,0.0,-5699.9267578125,4,0,4,0.05126637869411843
20180315,2459.912109375,4080.029296875,-1620.1171875,4,1,3,0.05397535943814036
20180316,600.0,59.9853515625,540.0146484375,4,1,3,0.04806981289404433
20180319,0.0,0.0,0.0,0,0,0,0.04175545398788616
20180320,-3480.322265625,-5940.3076171875,2459.9853515625,30,22,8,0.06947700620450314
20180321,3179.9560546875,4740.087890625,-1560.1318359375,12,4,8,0.05966325391249905
20180322,-1499.4873046875,8220.263671875,-9719.7509765625,25,16,9,0.05858489292319846
20180323,46620.1171875,27000.07421875,19620.04296875,42,21,21,0.05508573064247957
20180326,22859.984375,15779.9560546875,7080.029296875,74,32,42,0.04209460261344489
20180327,6959.9853515625,-539.94140625,7499.9267578125,60,35,25,0.05270818863922644
20180328,-4739.4287109375,4020.4833984375,-8759.912109375,48,31,17,0.05949668637744754
20180329,26219.75390625,9659.8388671875,16559.9140625,54,35,19,0.05988973910144302
20180330,11880.1025390625,2820.1171875,9059.9853515625,27,18,9,0.06350635742655708
20180402,7079.8828125,3059.9853515625,4019.8974609375,28,14,14,0.05292191178849581
20180403,3600.146484375,9900.0732421875,-6299.9267578125,33,21,12,0.05326012556190973
20180404,-12959.912109375,-10500.0,-2459.912109375,32,19,13,0.05753440219945405
20180409,20400.07421875,14099.9267578125,6300.146484375,21,12,9,0.06606235203685984
20180410,8340.6005859375,-2699.3408203125,11039.94140625,53,35,18,0.06604127797038095
20180411,-1679.8095703125,-4739.8681640625,3060.05859375,13,10,3,0.06322828196449515
20180412,5279.8828125,3899.9267578125,1379.9560546875,14,9,5,0.06747206891908408
20180413,9419.8974609375,-3360.05859375,12779.9560546875,16,7,9,0.06262006570524414
20180416,14879.9560546875,5400.0,9479.9560546875,17,9,8,0.05629506823674102
20180417,5219.970703125,-2460.05859375,7680.029296875,16,9,7,0.04400199191717724
20180418,30000.4375,31020.26171875,-1019.82421875,35,17,18,0.0436666719510711
20180419,-1619.82421875,-4259.8388671875,2640.0146484375,24,18,6,0.04846324408689007
20180420,6900.0732421875,3300.0,3600.0732421875,7,2,5,0.04639331218649634
20180423,12300.0,5700.0,6600.0,5,1,4,0.0298102595365054
20180424,-840.1611328125,4680.029296875,-5520.1904296875,48,35,13,0.06174297942643836
20180425,-4980.17578125,-5520.263671875,540.087890625,23,16,7,0.06626926966181468
20180426,-14999.7802734375,-13739.8681640625,-1259.912109375,57,35,22,0.07635623938138514
20180427,8280.029296875,8520.0439453125,-240.0146484375,50,24,26,0.05526170491804705
20180502,25440.52734375,20700.29296875,4740.234375,28,15,13,0.05415133135246719
20180503,18719.60546875,779.8095703125,17939.796875,48,30,18,0.0591535226140526
20180504,1980.2490234375,-3120.0439453125,5100.29296875,41,13,28,0.06502759552299431
20180507,9540.1611328125,13620.1171875,-4079.9560546875,27,18,9,0.06559234468198383
20180508,-4199.853515625,420.0439453125,-4619.8974609375,12,4,8,0.053589443369865486
20180509,-10140.087890625,-4680.029296875,-5460.05859375,8,4,4,0.057404912726656376
20180510,9000.0732421875,-1979.9560546875,10980.029296875,6,2,4,0.06192437609025869
20180511,-10199.9267578125,-1559.912109375,-8640.0146484375,18,11,7,0.06528837981775248
20180514,-59.8388671875,2040.087890625,-2099.9267578125,12,9,3,0.06041800729546254
20180515,-9179.9560546875,-6119.8974609375,-3060.05859375,7,3,4,0.06257868654915899
20180516,-14040.087890625,-360.1318359375,-13679.9560546875,11,7,4,0.06904606890925835
20180517,0.0,0.0,0.0,0,0,0,0.05599312093187925
20180518,-7139.794921875,-7080.029296875,-59.765625,29,8,21,0.05733164829595516
20180521,-4860.2783203125,-1680.1025390625,-3180.17578125,7,3,4,0.0629062794395503
20180522,6180.029296875,5519.970703125,660.05859375,5,1,4,0.06649548150702933
20180523,-6959.9853515625,-4620.0439453125,-2339.94140625,7,3,4,0.07021974402520326
20180524,-10019.8974609375,-2699.9267578125,-7319.970703125,7,2,5,0.06311306409351614
20180525,-5340.087890625,-6239.94140625,899.853515625,12,3,9,0.0606116051359572
20180528,-5760.205078125,-5040.087890625,-720.1171875,12,5,7,0.06252762149424007
20180529,-27420.04296875,-11160.05859375,-16259.9853515625,13,2,11,0.0637270916623438
20180530,12180.1025390625,1260.05859375,10920.0439453125,13,11,2,0.050118783905401254
20180531,6420.6298828125,5520.41015625,900.2197265625,27,18,9,0.06346559535851937
20180601,6960.205078125,2580.029296875,4380.17578125,10,6,4,0.06759882485321445
20180604,-5639.7216796875,-3179.8828125,-2459.8388671875,18,9,9,0.062080128134969326
20180605,7559.619140625,1799.70703125,5759.912109375,20,9,11,0.0679234529291084
20180606,539.94140625,-1259.9853515625,1799.9267578125,9,5,4,0.06146938168352678
20180607,-3240.0146484375,-5220.0439453125,1980.029296875,6,5,1,0.07171279338632608
20180608,-0.0732421875,-1620.0439453125,1619.970703125,9,1,8,0.060738535682943406
20180611,660.1318359375,-719.970703125,1380.1025390625,8,5,3,0.0587212490030925
20180612,-1800.0,-1800.0,0.0,2,2,0,0.06022544653259998
20180613,0.0,0.0,0.0,0,0,0,0.060109005749316435
20180614,8040.0146484375,12959.9853515625,-4919.970703125,3,2,1,0.05465874123211323
20180615,-19140.16015625,-6180.17578125,-12959.9853515625,12,7,5,0.0545366870538424
20180619,17639.8671875,3239.8681640625,14400.0,21,9,12,0.048515895859914226
20180620,6779.736328125,4979.8095703125,1799.9267578125,53,23,30,0.04859706300859923
20180621,-6840.380859375,-3660.3515625,-3180.029296875,42,23,19,0.07377951946832173
20180622,8219.6787109375,17699.78125,-9480.1025390625,20,13,7,0.0554610220795273
20180625,660.205078125,1799.9267578125,-1139.7216796875,29,14,15,0.05261116665865739
20180626,39600.14453125,24480.02734375,15120.1171875,45,29,16,0.0617822316584008
20180627,31740.16015625,9899.9267578125,21840.234375,74,35,39,0.06391454256737794
20180628,-660.205078125,-5400.2197265625,4740.0146484375,60,34,26,0.06325708594816637
20180629,23760.20703125,5339.8681640625,18420.33984375,69,45,24,0.06599224501254353
