TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20180104,-44918.434,-15369.528,-29548.906,160,83,77,0.05986123108374641
20180105,-23841.1,-7030.2812,-16810.818,124,53,71,0.06879236999535154
20180108,-40487.13,-15252.866,-25234.264,131,68,63,0.07718642742086124
20180109,-41191.406,-21115.88,-20075.523,219,116,103,0.07102332258597399
20180110,-47040.695,-24149.404,-22891.293,146,67,79,0.07742015396040769
20180111,-34852.61,-15381.029,-19471.578,129,62,67,0.0693524335581076
20180112,-46352.125,-17888.158,-28463.965,165,78,87,0.07787009363418784
20180115,-66730.0,-33566.32,-33163.68,226,118,108,0.0810908300583727
20180116,-26288.557,-16128.833,-10159.724,130,74,56,0.05098243893838239
20180117,-36850.332,-18448.748,-18401.584,191,134,57,0.05104404383783456
20180118,-60638.023,-31414.219,-29223.803,176,109,67,0.05099096552884552
20180119,-52322.156,-37597.797,-14724.359,134,73,61,0.05722260944005764
20180122,-17388.29,-20693.324,3305.0356,58,44,14,0.009789717102455131
20180123,-29063.572,-19314.697,-9748.875,175,101,74,0.0712651937837927
20180124,-74943.06,-40500.86,-34442.207,272,154,118,0.07819757762574553
20180125,-72433.85,-32391.832,-40042.02,308,165,143,0.06960851309922766
20180126,-38066.86,-16800.885,-21265.973,199,90,109,0.062219668250620974
20180129,-83784.8,-42374.305,-41410.496,311,174,137,0.06509733080757474
20180130,-30438.324,-17955.365,-12482.959,185,91,94,0.04650625576310308
20180131,-30475.938,-11483.892,-18992.045,267,148,119,0.06349714990878652
20180201,-71619.32,-28732.709,-42886.61,296,163,133,0.06502703083514416
20180202,-62766.33,-41631.965,-21134.363,306,181,125,0.04233069825415714
20180205,-62193.793,-26940.059,-35253.734,277,162,115,0.05331881334638533
20180206,-39882.76,3158.7256,-43041.49,369,194,175,0.06558899470715818
20180207,-19368.213,-42790.71,23422.498,426,270,156,0.05125462518249779
20180208,-38995.465,-18325.227,-20670.238,356,170,186,0.039655035122351134
20180209,67297.7,52236.43,15061.271,417,249,168,0.057316888202402105
20180212,-99620.68,-43610.414,-56010.266,584,296,288,0.036020633033417626
20180213,-57030.75,-23279.887,-33750.863,269,140,129,0.03736655491333074
20180214,-86631.516,-31549.537,-55081.98,317,123,194,0.034657983991287944
20180222,-46958.457,-7458.364,-39500.094,249,122,127,0.04646719957841672
20180223,-53844.53,-25033.408,-28811.123,219,115,104,0.04039567838224489
20180226,-26595.305,-16220.686,-10374.62,239,139,100,0.0704335721447108
20180227,-51589.87,-40575.54,-11014.331,309,200,109,0.06971393809551851
20180228,-66811.31,-21439.023,-45372.285,358,184,174,0.06648061211487355
20180301,-84184.52,-45148.246,-39036.277,332,155,177,0.06368016129515552
20180302,-61529.664,-35359.76,-26169.9,285,159,126,0.06124086765834591
20180305,-48510.164,-30322.555,-18187.611,338,204,134,0.07154234870669274
20180306,-65099.453,-30679.896,-34419.56,317,162,155,0.0524448011712052
20180307,-70572.17,-35965.35,-34606.816,310,159,151,0.059935752497271566
20180308,-77150.78,-33010.65,-44140.133,309,149,160,0.06529484819714049
20180309,-75189.11,-39084.465,-36104.64,295,155,140,0.07084337176560507
20180312,-64783.266,-30009.979,-34773.29,258,155,103,0.06303958209538851
20180313,-55312.344,-24478.285,-30834.057,230,117,113,0.051493873026778214
20180314,-57596.234,-25139.537,-32456.7,192,80,112,0.05126637869411843
20180315,-54691.836,-43196.56,-11495.278,183,125,58,0.05397535943814036
20180316,-39116.523,-22850.463,-16266.061,124,70,54,0.04806981289404433
20180319,-27312.266,-18799.223,-8513.042,56,32,24,0.04175545398788616
20180320,-63954.88,-30249.27,-33705.61,288,144,144,0.06947700620450314
20180321,-38729.68,-24730.094,-13999.586,224,110,114,0.05966325391249905
20180322,-42519.984,-21565.158,-20954.828,296,178,118,0.05858489292319846
20180323,2596.563,-6163.8667,8760.43,349,165,184,0.05508573064247957
20180326,-88297.5,-38535.734,-49761.766,463,248,215,0.04209460261344489
20180327,-81419.234,-32787.414,-48631.82,380,181,199,0.05270818863922644
20180328,-79543.17,-58890.465,-20652.705,352,207,145,0.05949668637744754
20180329,-77974.34,-38940.754,-39033.594,436,229,207,0.05988973910144302
20180330,-52889.605,-23295.182,-29594.424,313,169,144,0.06350635742655708
20180402,-74979.63,-32425.404,-42554.23,290,154,136,0.05292191178849581
