q,mean_daily_pnl,stderr,t_stat,p_value,annualized_sharpe,avg_daily_sharpe,win_rate_per_trade,mean_daily_volume,days_with_profit,days_with_loss
0.05,-685548.125,10647.519380623145,-64.38571166992188,1.0,-94.49239301915377,-1.4674899578094482,0.0735349260767088,1914.6666666666667,0,117
0.06,-541359.5625,9092.365377362321,-59.540016174316406,1.0,-87.38085149927278,-1.2833408117294312,0.09101417307804471,1611.940170940171,0,117
0.07,-434455.96875,7720.297829883964,-56.274505615234375,1.0,-82.58840008755497,-1.1280245780944824,0.10881452523023014,1370.7948717948718,0,117
0.08,-352254.78125,6556.028343023561,-53.72990036010742,1.0,-78.85394283509459,-0.9992899894714355,0.12646979690079188,1175.3760683760684,0,117
0.09,-290564.375,5742.541365213429,-50.598567962646484,1.0,-74.25839757096199,-0.8921954035758972,0.14354557055544362,1018.0512820512821,0,117
0.1,-242496.984375,4978.3028087311795,-48.71077346801758,1.0,-71.4878724764136,-0.8006576299667358,0.1588636952951684,889.974358974359,0,117
0.11,-204081.09375,4516.350218752922,-45.187171936035156,1.0,-66.31663798170882,-0.7221885323524475,0.1733140035534821,784.1111111111111,0,117
0.12,-175056.703125,3977.333664989845,-44.013580322265625,1.0,-64.59427950310301,-0.6592769622802734,0.18623442129232878,698.1367521367522,0,117
0.13,-151474.5625,3635.8059097993805,-41.66189193725586,1.0,-61.14294528918833,-0.6064682006835938,0.19819228507746373,625.0512820512821,0,117
0.14,-131843.921875,3347.382031206915,-39.38717269897461,1.0,-57.80456964810532,-0.5600785613059998,0.20931292145070166,562.7692307692307,0,117
0.15,-115269.0625,3047.2502226915194,-37.827239990234375,1.0,-55.515209498365806,-0.5189269781112671,0.21980635584643413,506.7008547008547,1,116
0.16,-101368.015625,2863.518241778351,-35.39981460571289,1.0,-51.952724805831515,-0.480025053024292,0.22952010279521035,458.96581196581195,1,116
0.17,-89859.796875,2697.2659980056715,-33.31513977050781,1.0,-48.893259912249285,-0.44933071732521057,0.2375310059244378,416.9316239316239,1,116
0.18,-79380.5078125,2473.901121431739,-32.08717727661133,1.0,-47.09110430095087,-0.4199866056442261,0.24615211773957982,380.38461538461536,1,116
0.19,-70036.734375,2394.843884383205,-29.244800567626953,1.0,-42.91963496770444,-0.38832932710647583,0.25508167639884693,346.8974358974359,1,116
0.2,-62383.87890625,2302.6090869113896,-27.09269142150879,1.0,-39.76120156871801,-0.36312270164489746,0.26198255609861476,316.5213675213675,1,116
0.21,-55555.81640625,2145.846694542621,-25.889925003051758,1.0,-37.99602651479662,-0.342439740896225,0.2699507679608502,289.9230769230769,2,115
0.22,-49670.4296875,2104.3599229330794,-23.60358238220215,1.0,-34.64058633240471,-0.32137468457221985,0.2762414987809573,266.4273504273504,2,115
0.23,-44777.7578125,2080.14126456104,-21.52630615234375,1.0,-31.59198054081094,-0.3024599254131317,0.28268230530247496,244.84615384615384,2,115
