q,mean_daily_pnl,stderr,t_stat,p_value,annualized_sharpe,avg_daily_sharpe,win_rate_per_trade,mean_daily_volume,days_with_profit,days_with_loss
0.05,-228584.359375,5143.002180860781,-44.445701599121094,1.0,-65.22846251764592,-0.4855259954929352,0.23035408185129633,1914.6666666666667,0,117
0.06,-156787.609375,4198.2867152223125,-37.34561538696289,1.0,-54.80838220430686,-0.3714544177055359,0.2640391946849632,1611.940170940171,0,117
0.07,-107471.4453125,3493.847801183253,-30.760196685791016,1.0,-45.143626762716835,-0.2819381058216095,0.29285522779845746,1370.7948717948718,0,117
0.08,-71898.34375,3031.06677224006,-23.720474243164062,1.0,-34.812140042689286,-0.20993643999099731,0.3190904529555916,1175.3760683760684,4,113
0.09,-47801.82421875,2713.3781247014313,-17.617088317871094,1.0,-25.85481833732499,-0.15467214584350586,0.34114950634696756,1018.0512820512821,7,110
0.1,-30304.55078125,2560.61509907947,-11.834871292114258,1.0,-17.368842943519226,-0.1111053079366684,0.3597337866259472,889.974358974359,12,105
0.11,-17148.91015625,2586.336070482953,-6.630580425262451,1.0,-9.731032159190782,-0.07454973459243774,0.3756444773874276,784.1111111111111,22,95
0.12,-8657.169921875,2456.8973575065,-3.5236191749572754,0.9996949434280396,-5.17125874323534,-0.04888240993022919,0.3873436007933204,698.1367521367522,26,91
0.13,-2506.30810546875,2407.532290238917,-1.0410279035568237,0.8499862551689148,-1.5278111580374942,-0.028616370633244514,0.3980117870670441,625.0512820512821,35,82
0.14,2240.28662109375,2391.867426689658,0.9366266131401062,0.17544817924499512,1.3745920263128266,-0.011642314493656158,0.4076757183646194,562.7692307692307,49,68
0.15,5414.79150390625,2318.6226243144606,2.335348129272461,0.01062184851616621,3.4273543591111197,0.001803932711482048,0.41485054989541864,506.7008547008547,60,57
0.16,7935.28857421875,2283.2344852334045,3.475459098815918,0.00035912031307816505,5.100579829899596,0.014222847297787666,0.42162796327678354,458.96581196581195,69,48
0.17,9421.2890625,2306.387801431704,4.08486795425415,4.073920354130678e-05,5.994946836194217,0.021188532933592796,0.4264775219860191,416.9316239316239,70,47
0.18,11192.7177734375,2283.758127996768,4.901008605957031,1.5625994365109364e-06,7.192713909441931,0.02987626940011978,0.4316368947309291,380.38461538461536,81,36
0.19,12545.150390625,2292.5670632418355,5.472097396850586,1.300804228776542e-07,8.030843501000515,0.03910750895738602,0.4349914997412965,346.8974358974359,89,28
0.2,12960.1201171875,2359.061749264335,5.493760585784912,1.180265343236897e-07,8.062636074384525,0.041502147912979126,0.43712364647746604,316.5213675213675,86,31
