q,mean_daily_pnl,stderr,t_stat,p_value,annualized_sharpe,avg_daily_sharpe,win_rate_per_trade,mean_daily_volume,days_with_profit,days_with_loss
0.05,-116031.6171875,4140.11036534555,-28.02621078491211,1.0,-41.13123656184394,-0.24366185069084167,0.25410684951074924,1914.6666666666667,1,116
0.06,-62065.3515625,3339.2930144782376,-18.58637237548828,1.0,-27.277340833933845,-0.14684589207172394,0.288843406841042,1611.940170940171,4,113
0.07,-26933.328125,2836.0000922977097,-9.496942520141602,1.0,-13.937700274976391,-0.07353629916906357,0.3181197508464114,1370.7948717948718,18,99
0.08,-2845.001220703125,2625.600249411721,-1.0835621356964111,0.8595969080924988,-1.590234574780113,-0.015509474091231823,0.34453420981827965,1175.3760683760684,44,73
0.09,11991.9755859375,2482.293128697287,4.83100700378418,2.0963061615475453e-06,7.089980000043356,0.026988396421074867,0.36652058566727114,1018.0512820512821,80,37
0.1,21959.65625,2513.6768451703724,8.736069679260254,1.0673383394287344e-14,12.821045233010702,0.05873994156718254,0.38474170964303206,889.974358974359,101,16
0.11,28893.5546875,2645.3609022028345,10.922348976135254,7.878935401128509e-20,16.029625797278488,0.08497161418199539,0.400453450474706,784.1111111111111,110,7
0.12,32327.99609375,2605.6844900227698,12.406719207763672,2.5898981938784308e-23,18.208086025389182,0.10146601498126984,0.41147376410959574,698.1367521367522,114,3
0.13,34185.4375,2601.1405348020644,13.14247989654541,5.097525985343749e-25,19.287887526213396,0.1137160137295723,0.42169531388877496,625.0512820512821,114,3
0.14,35266.01171875,2633.3980124240866,13.391826629638672,1.3598885950431715e-25,19.653829473103368,0.12344442307949066,0.43062389891258124,562.7692307692307,114,3
0.15,35139.93359375,2596.0996606555736,13.535663604736328,6.361426108699144e-26,19.864924352179017,0.13006597757339478,0.43696444234532084,506.7008547008547,113,4
0.16,34857.34375,2572.2471910849486,13.55132007598877,5.857172659535065e-26,19.887899980780073,0.13596224784851074,0.4423732285517421,458.96581196581195,115,2
0.17,33874.8125,2605.631403480553,13.000615119934082,1.0836124715696011e-24,19.079687610595833,0.13708378374576569,0.44685430802976567,416.9316239316239,117,0
0.18,33501.453125,2601.3953140914114,12.878262519836426,2.0792592608132335e-24,18.900123014904064,0.14068417251110077,0.45147736209414674,380.38461538461536,112,5
0.19,32885.5703125,2606.468148503114,12.616908073425293,8.397789578676788e-24,18.51655951195179,0.14439085125923157,0.4542587528026215,346.8974358974359,113,4
0.2,31517.810546875,2679.4484209995776,11.762799263000488,8.300768049260199e-22,17.26306790368919,0.14116720855236053,0.45543164204898334,316.5213675213675,113,4
0.21,30456.75390625,2644.6265383688346,11.51646614074707,3.144849610201938e-21,16.90155262585368,0.14036719501018524,0.4583886088263907,289.9230769230769,111,6
0.22,29366.931640625,2586.4379099721036,11.354199409484863,7.572239125096294e-21,16.663409018911143,0.1411474049091339,0.4589695880918773,266.4273504273504,112,5
0.23,27847.439453125,2552.338112655392,10.910560607910156,8.39958743559382e-20,16.01232521886401,0.13929402828216553,0.45896603483785386,244.84615384615384,113,4
0.24,26799.220703125,2477.8501101333813,10.815513610839844,1.4072212423193195e-19,15.872833961111924,0.13836878538131714,0.4608382325052153,225.34188034188034,111,6
0.25,25759.69140625,2400.1160641779265,10.732685089111328,2.2064262188148916e-19,15.75127637532796,0.1385079026222229,0.4611664412475921,208.53846153846155,113,4
0.26,24697.57421875,2397.3100612321778,10.302203178405762,2.2851894261640018e-18,15.119500045660264,0.13647757470607758,0.46343313551381016,191.54700854700855,112,5
