TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20180104,-4688.6406,5483.4043,-10172.045,160,83,77,0.05986123108374641
20180105,7420.413,6313.249,1107.1641,124,53,71,0.06879236999535154
20180108,-7327.8096,1943.9167,-9271.727,131,68,63,0.07718642742086124
20180109,14535.053,8343.542,6191.511,219,116,103,0.07102332258597399
20180110,-9730.654,-7035.463,-2695.1917,146,67,79,0.07742015396040769
20180111,-1834.7212,473.8902,-2308.6113,129,62,67,0.0693524335581076
20180112,-3960.8125,2144.9644,-6105.777,165,78,87,0.07787009363418784
20180115,-8374.04,-3071.5613,-5302.479,226,118,108,0.0810908300583727
20180116,7321.253,2974.7612,4346.4917,130,74,56,0.05098243893838239
20180117,12745.402,16381.815,-3636.4126,191,134,57,0.05104404383783456
20180118,-14779.159,-2984.6033,-11794.556,176,109,67,0.05099096552884552
20180119,-17273.453,-18503.844,1230.391,134,73,61,0.05722260944005764
20180122,-2136.609,-9144.724,7008.1147,58,44,14,0.009789717102455131
20180123,17604.895,7592.313,10012.582,175,101,74,0.0712651937837927
20180124,-2101.6536,709.66986,-2811.3235,272,154,118,0.07819757762574553
20180125,9755.595,11602.822,-1847.2273,308,165,143,0.06960851309922766
20180126,15201.324,7223.6284,7977.696,199,90,109,0.062219668250620974
20180129,-1153.6592,4141.957,-5295.616,311,174,137,0.06509733080757474
20180130,17959.086,5935.6753,12023.411,185,91,94,0.04650625576310308
20180131,38941.266,26952.898,11988.368,267,148,119,0.06349714990878652
20180201,5102.4814,13675.481,-8573.0,296,163,133,0.06502703083514416
20180202,16381.285,5057.994,11323.291,306,181,125,0.04233069825415714
20180205,9469.223,14894.612,-5425.39,277,162,115,0.05331881334638533
20180206,53689.316,52568.934,1120.3811,369,194,175,0.06558899470715818
20180207,87642.78,25628.348,62014.43,426,270,156,0.05125462518249779
20180208,48235.414,23579.023,24656.389,356,170,186,0.039655035122351134
20180209,164225.31,110458.78,53766.53,417,249,168,0.057316888202402105
20180212,37650.867,25707.15,11943.716,584,296,288,0.036020633033417626
20180213,7457.945,10324.312,-2866.3667,269,140,129,0.03736655491333074
20180214,-10668.396,-2190.1895,-8478.207,317,123,194,0.034657983991287944
