q,mean_daily_pnl,stderr,t_stat,p_value,annualized_sharpe,avg_daily_sharpe,win_rate_per_trade,mean_daily_volume,days_with_profit,days_with_loss
0.01,-1009839.25,15984.172961433434,-63.17744445800781,1.0,-92.71914450614037,-1.1512526273727417,0.09191306531465891,4662.897435897436,0,117
0.02,-699254.0,11784.692340710651,-59.33578109741211,1.0,-87.08112877574902,-0.9555371403694153,0.12374361736904384,3712.6666666666665,0,117
0.03,-480090.6875,8614.268700423092,-55.732025146484375,1.0,-81.79225975457508,-0.7763122320175171,0.15943311654571096,2993.7264957264956,0,117
0.04,-326605.46875,6222.03598776437,-52.49173355102539,1.0,-77.03680686130792,-0.6098915338516235,0.19784931195467817,2444.059829059829,0,117
0.05,-219177.40625,4906.43590908951,-44.671409606933594,1.0,-65.55970527151392,-0.46539831161499023,0.2362661446475307,2008.4188034188035,0,117
0.06,-145371.078125,4132.081657817895,-35.18107604980469,1.0,-51.63170365988426,-0.3477696180343628,0.2716043052215425,1666.8290598290598,0,117
0.07,-96573.7109375,3477.420947130065,-27.771644592285156,1.0,-40.75763667306872,-0.2597944736480713,0.3025665132293867,1400.017094017094,2,115
0.08,-62979.85546875,2982.2824067404003,-21.118003845214844,1.0,-30.992758533080718,-0.19065460562705994,0.32870533816546943,1186.2649572649573,5,112
0.09,-41035.6015625,2837.587452136582,-14.46143913269043,1.0,-21.223592031279058,-0.1393316686153412,0.3503677243118302,1016.8803418803419,9,108
0.1,-24818.265625,2565.8753614871634,-9.672435760498047,1.0,-14.195255422961537,-0.09705711156129837,0.3690773067331671,877.4017094017094,10,107
0.11,-14100.275390625,2497.662766067891,-5.645388603210449,0.9999999403953552,-8.2851644829585,-0.06695157289505005,0.38359791315227953,765.0683760683761,16,101
0.12,-5783.0576171875,2502.1996791962615,-2.3111894130706787,0.9887058138847351,-3.391898865844224,-0.040643397718667984,0.3975157648494711,672.2735042735043,29,88
0.13,-78.74909973144531,2527.966333916686,-0.031151166185736656,0.5123987197875977,-0.045717413426351265,-0.021294809877872467,0.40678455014855625,592.5982905982906,39,78
0.14,3330.900390625,2364.778122575565,1.4085466861724854,0.08082198351621628,2.0671813876764316,-0.007849053479731083,0.4159127888057273,525.2991452991453,54,63
0.15,6328.63671875,2354.035139868984,2.688420534133911,0.004118122160434723,3.945522866603843,0.005534034688025713,0.4249328534103159,467.78632478632477,59,58
0.16,8479.0322265625,2395.4971738721188,3.5395708084106445,0.00028887411463074386,5.19466998925336,0.015570247545838356,0.43179269709881957,419.22222222222223,63,54
0.17,9458.1845703125,2342.6933987474677,4.037312030792236,4.8687783419154584e-05,5.925154381101503,0.021977517753839493,0.4369534683521363,377.28205128205127,73,44
0.18,10184.3681640625,2283.992864407931,4.459019184112549,9.566780136083253e-06,6.544051182509607,0.027858387678861618,0.44191435768261966,339.3162393162393,76,41
0.19,10299.02734375,2141.0750450030873,4.810213565826416,2.2863855519972276e-06,7.059462914057159,0.03235071524977684,0.44388110427055183,306.8119658119658,79,38
0.2,10512.4921875,2108.238851844313,4.986385345458984,1.088325007003732e-06,7.318013613752883,0.03516634553670883,0.4467881408276714,276.7521367521368,78,39
0.21,11165.6201171875,2131.871933153736,5.2374725341796875,3.6796433278141194e-07,7.686507857806259,0.041670095175504684,0.45082778631165726,250.3846153846154,83,34
0.22,11054.98828125,2062.414873622359,5.360215187072754,2.142397619309122e-07,7.8666457593113694,0.04242197424173355,0.45276393294064343,226.35897435897436,77,40
0.23,11294.0634765625,2082.112869848339,5.424327850341797,1.6107381384244945e-07,7.960737346407525,0.04659222811460495,0.45417396380618796,204.97435897435898,82,35
0.24,11246.306640625,1937.357425477029,5.8049726486206055,2.8560618758888268e-08,8.519370556842444,0.049630213528871536,0.45647782572766504,186.17094017094018,82,35
0.25,11061.015625,1911.002485196936,5.788069725036621,3.0880091372864626e-08,8.494564014201954,0.053796153515577316,0.4579496002428904,168.9059829059829,83,34
0.26,10546.560546875,1839.9064238162312,5.732117652893066,3.9955530439783615e-08,8.4124491880942,0.051198121160268784,0.4581355080154164,153.01709401709402,85,32
0.27,9773.2705078125,1781.994062118792,5.484457015991211,1.230631596627063e-07,8.048982931444671,0.044912729412317276,0.45686490455212925,139.69230769230768,80,37
0.28,9541.9814453125,1874.8122698555826,5.089566230773926,6.995527428443893e-07,7.469441325473563,0.04228796809911728,0.45697269807280516,127.72649572649573,75,42
0.29,8872.2763671875,1799.9188956081405,4.929264545440674,1.3868645964976167e-06,7.234182566710061,0.03533732518553734,0.4558608593978369,116.95726495726495,76,41
0.3,8155.767578125,1811.7181921649549,4.501675605773926,8.068922397796996e-06,6.6066535785370935,0.0424249856205906,0.45303734572848214,106.64957264957265,76,41
