TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20180104,5220.117,10619.531,-5399.414,160,83,77,0.05986123108374641
20180105,15120.264,9599.854,5520.41,124,53,71,0.06879236999535154
20180108,839.35547,6179.4434,-5340.088,131,68,63,0.07718642742086124
20180109,28260.498,15599.414,12661.084,219,116,103,0.07102332258597399
20180110,-541.1133,-2820.2637,2279.1504,146,67,79,0.07742015396040769
20180111,6297.8027,4379.1504,1918.6523,129,62,67,0.0693524335581076
20180112,6480.176,7079.1504,-598.9746,165,78,87,0.07787009363418784
20180115,5999.414,4439.3555,1560.0586,226,118,108,0.0810908300583727
20180116,15599.268,7679.883,7919.385,130,74,56,0.05098243893838239
20180117,24961.23,24960.938,0.29296875,191,134,57,0.05104404383783456
20180118,-3483.9844,4017.7734,-7501.758,176,109,67,0.05099096552884552
20180119,-8640.82,-13801.025,5160.205,134,73,61,0.05722260944005764
20180122,1619.5312,-6300.4395,7919.9707,58,44,14,0.009789717102455131
20180123,29099.268,14219.531,14879.736,175,101,74,0.0712651937837927
20180124,15839.648,10860.205,4979.4434,272,154,118,0.07819757762574553
20180125,29999.414,22439.062,7560.3516,308,165,143,0.06960851309922766
20180126,28321.436,13140.82,15180.615,199,90,109,0.062219668250620974
20180129,19199.56,15599.707,3599.8535,311,174,137,0.06509733080757474
20180130,29879.883,11820.264,18059.62,185,91,94,0.04650625576310308
20180131,56038.906,36419.812,19619.092,267,148,119,0.06349714990878652
20180201,23999.854,24121.29,-121.43555,296,163,133,0.06502703083514416
20180202,35875.344,16557.715,19317.627,306,181,125,0.04233069825415714
20180205,27119.824,25198.535,1921.2891,277,162,115,0.05331881334638533
20180206,76737.19,64739.234,11997.949,369,194,175,0.06558899470715818
20180207,114001.63,42481.21,71520.42,426,270,156,0.05125462518249779
20180208,69720.87,33900.227,35820.64,356,170,186,0.039655035122351134
20180209,188100.1,124800.08,63300.02,417,249,168,0.057316888202402105
20180212,71461.25,42780.04,28681.21,584,296,288,0.036020633033417626
20180213,23341.703,18600.81,4740.8936,269,140,129,0.03736655491333074
20180214,8041.5527,5041.26,3000.293,317,123,194,0.034657983991287944
20180222,28920.12,29640.383,-720.2637,249,122,127,0.04646719957841672
20180223,13319.971,10260.205,3059.7656,219,115,104,0.04039567838224489
20180226,47460.21,26700.736,20759.473,239,139,100,0.0704335721447108
20180227,43919.68,21419.83,22499.85,309,200,109,0.06971393809551851
20180228,42360.22,34620.06,7740.161,358,184,174,0.06648061211487355
20180301,17282.3,2161.8164,15120.483,332,155,177,0.06368016129515552
20180302,25260.64,13081.196,12179.443,285,159,126,0.06124086765834591
20180305,54181.79,31741.41,22440.379,338,204,134,0.07154234870669274
20180306,31740.383,18599.93,13140.454,317,162,155,0.0524448011712052
20180307,24661.523,13080.908,11580.615,310,159,151,0.059935752497271566
20180308,17761.084,12660.278,5100.8057,309,149,160,0.06529484819714049
20180309,16322.681,8880.762,7441.919,295,155,140,0.07084337176560507
20180312,16020.703,18540.82,-2520.1172,258,155,103,0.06303958209538851
20180313,16318.433,12058.301,4260.132,230,117,113,0.051493873026778214
20180314,1740.3076,-420.26367,2160.5713,192,80,112,0.05126637869411843
20180315,2040.3076,-4439.575,6479.883,183,125,58,0.05397535943814036
20180316,-600.58594,-1080.7617,480.17578,124,70,54,0.04806981289404433
20180319,-10139.795,-8999.854,-1139.9414,56,32,24,0.04175545398788616
20180320,24360.57,13800.22,10560.352,288,144,144,0.06947700620450314
20180321,30421.07,9359.766,21061.305,224,110,114,0.05966325391249905
20180322,47461.516,32640.81,14820.703,296,178,118,0.05858489292319846
20180323,104160.164,42240.17,61919.992,349,165,184,0.05508573064247957
20180326,46441.633,33540.902,12900.732,463,248,215,0.04209460261344489
20180327,30901.902,20820.922,10080.981,380,181,199,0.05270818863922644
20180328,23101.102,1740.8203,21360.281,352,207,145,0.05949668637744754
20180329,48840.68,27240.309,21600.371,436,229,207,0.05988973910144302
20180330,39420.117,26520.262,12899.854,313,169,144,0.06350635742655708
20180402,10740.231,13260.202,-2519.9707,290,154,136,0.05292191178849581
20180403,40081.266,19020.629,21060.637,334,178,156,0.05326012556190973
20180404,26160.129,25560.568,599.56055,313,162,151,0.05753440219945405
20180409,34862.105,27061.373,7800.7324,292,163,129,0.06606235203685984
20180410,27600.219,12600.732,14999.487,404,218,186,0.06604127797038095
20180411,12899.927,6360.3516,6539.575,264,150,114,0.06322828196449515
20180412,15840.088,9120.776,6719.3115,289,159,130,0.06747206891908408
