TradDay,daily_pnl,morning_pnl,afternoon_pnl,daily_trade_volume,morning_volume,afternoon_volume,r_squared
20180104,-1211.6738,428.06537,-1639.7391,162,91,71,0.009835349617607458
20180105,-3614.301,740.6512,-4354.952,208,109,99,0.009345421873986903
20180108,-4816.8086,-979.4992,-3837.3096,135,61,74,0.010958578882683256
20180109,12857.549,7085.1084,5772.441,217,115,102,0.007195613285078339
20180110,9011.801,5091.464,3920.337,139,65,74,0.01006924859455538
20180111,-989.50854,-3911.1367,2921.6282,187,104,83,0.011907918780180271
20180112,-4023.0386,2723.4648,-6746.5034,166,85,81,0.008284650529111981
20180115,15173.846,23283.037,-8109.192,268,131,137,0.012127293919306226
20180116,181.88428,-8160.9897,8342.874,243,149,94,0.01572565797690939
20180117,-4604.1953,-3607.453,-996.7423,163,106,57,0.0065925309710227475
20180118,1957.4951,11396.463,-9438.968,308,185,123,0.022612741044873763
20180119,-13931.232,-6618.1133,-7313.1196,193,113,80,0.017622202036442047
20180122,-4457.8867,4861.2793,-9319.166,436,231,205,0.02614325341646828
20180123,23940.395,13447.124,10493.271,180,116,64,0.008423025039000609
20180124,-78.280945,-471.3529,393.07196,447,263,184,0.016366235851085875
20180125,17471.664,12048.229,5423.436,365,203,162,0.01077632208232615
20180126,2545.4556,3138.0283,-592.5728,320,153,167,0.014062959192263524
20180129,-2350.8076,8908.474,-11259.281,310,180,130,0.007474085142354814
20180130,8992.694,3383.0518,5609.6426,137,59,78,0.007259180699236034
20180131,16970.402,13583.064,3387.3376,284,160,124,0.008500253681909986
20180201,-12568.927,4977.503,-17546.43,430,236,194,0.011565043183004109
20180202,31215.707,23673.16,7542.5474,379,223,156,0.012020258140651885
20180205,25159.043,20239.375,4919.669,416,261,155,0.014476641223814757
20180206,11801.086,27005.385,-15204.299,536,305,231,0.009876845044728078
20180207,45926.484,23768.043,22158.44,653,390,263,0.023652084039756605
20180208,-81459.72,-34770.6,-46689.117,712,364,348,0.017671538023315114
20180209,155475.12,105893.016,49582.1,529,319,210,0.013661309728511206
20180212,-147292.47,-73929.836,-73362.63,993,539,454,0.031379271214773574
20180213,-13131.68,6591.0103,-19722.69,457,263,194,0.0082068268898835
20180214,-17262.748,-1953.4736,-15309.274,374,171,203,0.00829707183047923
20180222,1428.7295,9403.513,-7974.783,322,160,162,0.01000973850077691
20180223,4514.7075,6350.3193,-1835.6119,366,197,169,0.013644009504469534
20180226,30078.785,19789.338,10289.446,225,127,98,0.007805229005964476
20180227,21739.36,12895.65,8843.708,491,290,201,0.01410513448280415
20180228,-1714.7034,-5496.17,3781.4666,352,186,166,0.0075423760365573855
20180301,24332.209,18122.809,6209.4,380,187,193,0.012990399054471857
20180302,1728.2466,8175.8574,-6447.611,425,239,186,0.010400202478143994
20180305,31906.281,25771.129,6135.1523,417,244,173,0.014020129919829705
20180306,-16000.916,7058.3003,-23059.217,395,180,215,0.006374607938800403
20180307,15120.527,12141.246,2979.2808,349,166,183,0.011854471622991691
20180308,-9468.318,4012.4185,-13480.736,237,118,119,0.006818957008499327
20180309,-10873.424,-899.329,-9974.095,385,209,176,0.010765255891352021
20180312,-8241.565,-1410.8055,-6830.7603,234,143,91,0.007198313520407007
20180313,-3819.467,-6549.995,2730.528,217,111,106,0.008361738647011951
20180314,3153.0383,3621.5796,-468.54132,81,35,46,0.006063651507183132
20180315,966.13696,-3445.598,4411.735,187,117,70,0.008332010719069083
20180316,-21397.22,-13679.672,-7717.5493,196,122,74,0.015634090561829406
20180319,-11067.447,-8029.0474,-3038.4001,150,96,54,0.011182578023736567
20180320,7271.751,9460.202,-2188.451,375,176,199,0.011822100468933838
20180321,-10527.597,-8066.0225,-2461.5745,272,118,154,0.006865651909280235
20180322,14613.527,17365.129,-2751.602,277,169,108,0.008590486004677933
20180323,100304.125,48292.06,52012.07,459,233,226,0.011379830697308413
20180326,-7408.6465,-8727.657,1319.011,826,438,388,0.035079118278258714
20180327,-3154.983,-4367.697,1212.714,662,337,325,0.021911434403441343
20180328,-227.0315,-3102.1472,2875.1157,360,207,153,0.009661682765224167
20180329,18955.256,30058.045,-11102.789,574,293,281,0.009879499739616437
20180330,2079.723,2143.0044,-63.281464,406,229,177,0.011264524721373848
20180402,10492.669,6513.343,3979.326,262,155,107,0.006723084803397783
20180403,-6922.744,-6707.867,-214.87683,455,264,191,0.011776671737816935
20180404,2096.4048,3549.2153,-1452.8105,327,166,161,0.007980638536061124
20180409,14859.916,14458.251,401.66486,305,183,122,0.00911764005343263
20180410,3295.342,773.49805,2521.844,502,268,234,0.01081371644886997
20180411,3561.912,9361.358,-5799.4463,206,122,84,0.008798570811070494
20180412,-3206.6836,-3355.6396,148.95612,210,108,102,0.005971186707421805
20180413,8771.15,-18.026855,8789.178,261,117,144,0.008287118827346118
20180416,13404.546,12003.5205,1401.0258,163,77,86,0.006160627123312001
20180417,-3712.9902,-5342.0557,1629.0656,339,201,138,0.007374612920529211
20180418,13301.732,15862.179,-2560.4468,256,150,106,0.006215509939238695
20180419,-7598.2075,4601.0024,-12199.21,445,259,186,0.017748513083672868
20180420,-1745.9673,5417.0825,-7163.05,184,107,77,0.01687070859558948
20180423,22758.86,9132.24,13626.619,458,260,198,0.019571708374629626
20180424,13590.066,19899.873,-6309.806,501,269,232,0.012119491773517233
20180425,-14058.443,-2953.5261,-11104.917,280,150,130,0.009779253997253212
20180426,-73.06348,13326.633,-13399.696,369,220,149,0.0066288635700126886
20180427,9202.788,9485.252,-282.46375,266,141,125,0.006231702759448177
20180502,-12540.258,-1803.1174,-10737.141,372,183,189,0.008902491742225793
20180503,1240.5032,4741.1714,-3500.6682,426,216,210,0.008072477563494052
20180504,-9807.612,2594.4011,-12402.014,421,188,233,0.010969177050414114
20180507,-16273.13,-6683.372,-9589.758,283,187,96,0.005759076588963574
20180508,654.54626,2120.1636,-1465.6173,209,124,85,0.006457989254463725
20180509,-5397.9297,5099.0654,-10496.995,210,90,120,0.009744360007349573
20180510,-6691.663,45.754395,-6737.4175,186,92,94,0.0067736127805132496
20180511,-14046.888,-7729.7495,-6317.138,209,119,90,0.0062430454620827636
20180514,-172.03491,3311.675,-3483.71,184,99,85,0.00809256496106403
20180515,-2171.0085,3625.9373,-5796.946,294,145,149,0.009760483349434468
20180516,-8268.908,-4100.176,-4168.733,224,117,107,0.010577255370476935
20180517,6919.92,4959.309,1960.6106,146,94,52,0.009962461850659077
20180518,-24902.79,-14254.165,-10648.624,494,221,273,0.012215078690145709
20180521,-14312.063,-9183.792,-5128.2715,282,166,116,0.01215385377190814
20180522,1242.6953,-270.56863,1513.2639,206,93,113,0.008265194898920525
20180523,14629.244,-497.66327,15126.907,195,113,82,0.00754066736169734
20180524,4494.8867,6022.667,-1527.78,207,108,99,0.009268948327101456
20180525,3374.3857,5301.946,-1927.56,210,114,96,0.0071666761529129985
20180528,-13271.482,-4904.432,-8367.05,231,133,98,0.0066159755067005666
20180529,-29419.543,-11454.634,-17964.908,411,171,240,0.010246251762248693
20180530,10648.367,9206.54,1441.8268,254,138,116,0.0060292407109358015
20180531,10480.494,-583.7357,11064.2295,435,215,220,0.017594733368773596
20180601,7009.5396,-2610.601,9620.141,209,126,83,0.010021992700112614
20180604,10448.359,14623.135,-4174.7754,280,160,120,0.008568758446536151
20180605,-25553.242,-7851.5684,-17701.674,460,195,265,0.012021871231069015
20180606,1604.423,150.25919,1454.1638,171,99,72,0.00629178772342287
20180607,6756.3423,5143.5776,1612.7648,110,68,42,0.007776773633362377
20180608,9387.774,9814.261,-426.48645,112,48,64,0.006508581802170732
20180611,-13761.016,-5454.2993,-8306.717,148,87,61,0.0059462205712208505
20180612,-6091.431,-2459.413,-3632.018,287,166,121,0.011931920575612653
20180613,-4178.132,-3498.5564,-679.5752,339,177,162,0.01831646562730238
20180614,8617.363,2385.0632,6232.3,175,107,68,0.009622976059474042
20180615,10970.876,4962.9897,6007.886,482,252,230,0.022319609926222617
20180619,45816.188,16037.333,29778.855,390,202,188,0.008593601274839546
20180620,5834.315,11881.918,-6047.603,614,291,323,0.016382289155621454
20180621,11733.522,-8276.329,20009.852,506,261,245,0.014939026873685757
20180622,29042.781,23656.81,5385.9707,403,222,181,0.011120957088528116
20180625,-21708.27,-14520.945,-7187.324,539,288,251,0.011081076247624111
20180626,24797.879,9892.902,14904.977,213,139,74,0.005521444832716549
20180627,31500.69,-2344.7988,33845.49,724,366,358,0.019350755011948717
20180628,36550.4,15679.539,20870.857,537,311,226,0.014011766834991057
20180629,29912.59,16468.018,13444.572,587,322,265,0.012570187041697767
